Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
71500,JP3357800006,First Section,Banks,"March,31",100
71610,JP3387970001,First Section,Banks,"March,31",100
71670,JP3117700009,First Section,Banks,"March,31",100
71730,JP3584400000,First Section,Banks,"March,31",100
71800,JP3246500007,First Section,Banks,"March,31",100
71820,JP3946750001,First Section,Banks,"March,31",100
71840,JP3632150003,First Section,Banks,"March,31",100
71860,JP3305990008,First Section,Banks,"March,31",100
71890,JP3658850007,First Section,Banks,"March,31",100
73210,JP3229500008,First Section,Banks,"March,31",100
73220,JP3333500001,First Section,Banks,"March,31",100
73270,JP3483850008,First Section,Banks,"March,31",100
73370,JP3796150005,First Section,Banks,"March,31",100
83030,JP3729000004,First Section,Banks,"March,31",100
83040,JP3711200000,First Section,Banks,"March,31",100
83060,JP3902900004,First Section,Banks,"March,31",100
83080,JP3500610005,First Section,Banks,"March,31",100
83090,JP3892100003,First Section,Banks,"March,31",100
83160,JP3890350006,First Section,Banks,"March,31",100
83310,JP3511800009,First Section,Banks,"March,31",100
83340,JP3276400003,First Section,Banks,"March,31",100
83360,JP3912800004,First Section,Banks,"March,31",100
83370,JP3512200001,First Section,Banks,"March,31",100
83380,JP3231000005,First Section,Banks,"March,31",100
83410,JP3352000008,First Section,Banks,"March,31",100
83420,JP3106000007,First Section,Banks,"March,31",100
83430,JP3107600003,First Section,Banks,"March,31",100
83440,JP3934800008,First Section,Banks,"March,31",100
83450,JP3152400002,First Section,Banks,"March,31",100
83460,JP3601000007,First Section,Banks,"March,31",100
83490,JP3604200000,First Section,Banks,"March,31",100
83500,JP3888000001,First Section,Banks,"March,31",100
83540,JP3805010000,First Section,Banks,"March,31",100
83550,JP3351200005,First Section,Banks,"March,31",100
83560,JP3392600007,First Section,Banks,"March,31",100
83580,JP3411000007,First Section,Banks,"March,31",100
83590,JP3769000005,First Section,Banks,"March,31",100
83600,JP3942000005,First Section,Banks,"March,31",100
83610,JP3176000002,First Section,Banks,"March,31",100
83620,JP3803600000,First Section,Banks,"March,31",100
83630,JP3851400006,First Section,Banks,"March,31",100
83640,JP3358400004,First Section,Banks,"March,31",100
83650,JP3632000000,First Section,Banks,"March,31",100
83660,JP3347600003,First Section,Banks,"March,31",100
83670,JP3653400006,First Section,Banks,"March,31",100
83680,JP3793800008,First Section,Banks,"March,31",100
83690,JP3251200006,First Section,Banks,"March,31",100
83700,JP3248000006,First Section,Banks,"March,31",100
83770,JP3842400008,First Section,Banks,"March,31",100
83810,JP3324000003,First Section,Banks,"March,31",100
83820,JP3521000004,First Section,Banks,"March,31",100
83830,JP3628600003,First Section,Banks,"March,31",100
83850,JP3149600003,First Section,Banks,"March,31",100
83860,JP3794200000,First Section,Banks,"March,31",100
83870,JP3350000000,First Section,Banks,"March,31",100
83880,JP3126800006,First Section,Banks,"March,31",100
83920,JP3175200009,First Section,Banks,"March,31",100
83930,JP3908000007,First Section,Banks,"March,31",100
83950,JP3315200000,First Section,Banks,"March,31",100
83970,JP3194600007,First Section,Banks,"March,31",100
83990,JP3975000005,First Section,Banks,"March,31",100
84100,JP3105220002,First Section,Banks,"March,31",100
84110,JP3885780001,First Section,Banks,"March,31",100
84160,JP3288960002,First Section,Banks,"March,31",100
84180,JP3935300008,First Section,Banks,"March,31",100
85210,JP3648300006,First Section,Banks,"March,31",100
85220,JP3648800005,First Section,Banks,"March,31",100
85240,JP3843400007,First Section,Banks,"March,31",100
85270,JP3103000000,First Section,Banks,"March,31",100
85300,JP3520000005,First Section,Banks,"March,31",100
85370,JP3441600008,First Section,Banks,"March,31",100
85410,JP3166400006,First Section,Banks,"March,31",100
85420,JP3630500001,First Section,Banks,"March,31",100
85440,JP3281600001,First Section,Banks,"March,31",100
85500,JP3627800000,First Section,Banks,"March,31",100
85510,JP3238200004,First Section,Banks,"March,31",100
85580,JP3622400004,First Section,Banks,"March,31",100
85620,JP3805100009,First Section,Banks,"March,31",100
85630,JP3486700002,First Section,Banks,"March,31",100
86000,JP3631700006,First Section,Banks,"March,31",100
87130,JP3802940001,First Section,Banks,"March,31",100
87140,JP3132600002,First Section,Banks,"March,31",100
