Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
34050,JP3269600007,First Section,Chemicals,"December,31",100
34070,JP3111200006,First Section,Chemicals,"March,31",100
35530,JP3256400007,First Section,Chemicals,"March,31",100
40040,JP3368000000,First Section,Chemicals,"December,31",100
40050,JP3401400001,First Section,Chemicals,"March,31",100
40080,JP3405600002,First Section,Chemicals,"March,31",100
40210,JP3670800006,First Section,Chemicals,"March,31",100
40220,JP3967400007,First Section,Chemicals,"March,31",100
40230,JP3271600003,First Section,Chemicals,"March,31",100
40250,JP3461000006,First Section,Chemicals,"December,31",100
40270,JP3539300008,First Section,Chemicals,"March,31",100
40280,JP3136800004,First Section,Chemicals,"March,31",100
40310,JP3211800002,First Section,Chemicals,"March,31",100
40410,JP3726200003,First Section,Chemicals,"March,31",100
40420,JP3595200001,First Section,Chemicals,"March,31",100
40430,JP3625000009,First Section,Chemicals,"March,31",100
40440,JP3425000001,First Section,Chemicals,"March,31",100
40450,JP3556400004,First Section,Chemicals,"December,31",100
40460,JP3485900009,First Section,Chemicals,"March,31",100
40470,JP3232600001,First Section,Chemicals,"March,31",100
40610,JP3549600009,First Section,Chemicals,"March,31",100
40630,JP3371200001,First Section,Chemicals,"March,31",100
40640,JP3690000009,First Section,Chemicals,"March,31",100
40780,JP3312800000,First Section,Chemicals,"March,31",100
40820,JP3474350000,First Section,Chemicals,"March,31",100
40880,JP3160670000,First Section,Chemicals,"March,31",100
40910,JP3711600001,First Section,Chemicals,"March,31",100
40920,JP3691600005,First Section,Chemicals,"March,31",100
40930,JP3599400003,First Section,Chemicals,"March,31",100
40940,JP3692000007,Second Section,Chemicals,"March,31",100
40950,JP3744600002,First Section,Chemicals,"March,31",100
40970,JP3285800003,First Section,Chemicals,"March,31",100
40980,JP3509000000,First Section,Chemicals,"March,31",100
40990,JP3349600001,First Section,Chemicals,"March,31",100
41000,JP3627400009,First Section,Chemicals,"March,31",100
41020,JP3872800002,Second Section,Chemicals,"March,31",100
41070,JP3139300002,Second Section,Chemicals,"December,31",100
41090,JP3399720006,First Section,Chemicals,"March,31",100
41120,JP3852600000,First Section,Chemicals,"March,31",100
41130,JP3452400009,Second Section,Chemicals,"March,31",100
41140,JP3715200006,First Section,Chemicals,"March,31",100
41150,JP3853400004,Second Section,Chemicals,"March,31",100
41160,JP3492200005,First Section,Chemicals,"March,31",100
41180,JP3215800008,First Section,Chemicals,"March,31",100
41190,JP3747000002,Second Section,Chemicals,"March,31",100
41200,JP3396600003,Second Section,Chemicals,"March,31",100
41820,JP3896800004,First Section,Chemicals,"March,31",100
41830,JP3888300005,First Section,Chemicals,"March,31",100
41850,JP3385980002,First Section,Chemicals,"March,31",100
41860,JP3571800006,First Section,Chemicals,"December,31",100
41870,JP3187000009,First Section,Chemicals,"November,30",100
41880,JP3897700005,First Section,Chemicals,"March,31",100
41890,JP3277040006,First Section,Chemicals,"December,31",100
42020,JP3485800001,First Section,Chemicals,"March,31",100
42030,JP3409400003,First Section,Chemicals,"March,31",100
42040,JP3419400001,First Section,Chemicals,"March,31",100
42050,JP3725400000,First Section,Chemicals,"March,31",100
42060,JP3100800006,First Section,Chemicals,"March,31",100
42080,JP3158800007,First Section,Chemicals,"March,31",100
42120,JP3420200002,First Section,Chemicals,"March,31",100
42150,JP3462200001,First Section,Chemicals,"March,31",100
42160,JP3117200000,First Section,Chemicals,"March,31",100
42180,JP3662400005,First Section,Chemicals,"March,31",100
42200,JP3973000007,First Section,Chemicals,"March,31",100
42210,JP3178400002,First Section,Chemicals,"December,31",100
42220,JP3299000004,Second Section,Chemicals,"March,31",100
42240,JP3985200009,Second Section,Chemicals,"March,31",100
42280,JP3419800002,First Section,Chemicals,"March,31",100
42290,JP3274800006,First Section,Chemicals,"March,31",100
42310,JP3440800005,First Section,Chemicals,"March,31",100
42380,JP3910570005,First Section,Chemicals,"January,31",100
42450,JP3480590003,First Section,Chemicals,"December,31",100
42460,JP3481300006,First Section,Chemicals,"March,31",100
42480,JP3463300008,First Section,Chemicals,"December,31",100
42490,JP3927450001,First Section,Chemicals,"March,31",100
42510,JP3281610000,First Section,Chemicals,"December,31",100
42720,JP3694400007,First Section,Chemicals,"March,31",100
42750,JP3205320009,First Section,Chemicals,"March,31",100
43610,JP3222600003,Second Section,Chemicals,"November,30",100
43620,JP3720000003,First Section,Chemicals,"March,31",100
43640,JP3869900005,Second Section,Chemicals,"March,31",100
43660,JP3486500006,Second Section,Chemicals,"March,31",100
43670,JP3286100007,Second Section,Chemicals,"March,31",100
43680,JP3822600007,First Section,Chemicals,"March,31",100
43690,JP3636000006,First Section,Chemicals,"January,31",100
44010,JP3114800000,First Section,Chemicals,"March,31",100
44030,JP3753400005,First Section,Chemicals,"March,31",100
44060,JP3382600009,First Section,Chemicals,"March,31",100
44090,JP3599800004,Second Section,Chemicals,"March,31",100
44100,JP3772600007,First Section,Chemicals,"March,31",100
44520,JP3205800000,First Section,Chemicals,"December,31",100
44610,JP3475000000,First Section,Chemicals,"March,31",100
44620,JP3136900002,First Section,Chemicals,"March,31",100
44630,JP3666700004,First Section,Chemicals,"December,31",100
44640,JP3436030005,Second Section,Chemicals,"March,31",100
44650,JP3657250001,First Section,Chemicals,"May,31",100
44710,JP3337600005,First Section,Chemicals,"March,31",100
45310,JP3946400003,First Section,Chemicals,"March,31",100
46110,JP3495400008,First Section,Chemicals,"March,31",100
46120,JP3749400002,First Section,Chemicals,"December,31",100
46130,JP3229400001,First Section,Chemicals,"March,31",100
46150,JP3378600005,First Section,Chemicals,"March,31",100
46160,JP3221800000,Second Section,Chemicals,"November,30",100
46170,JP3522600000,First Section,Chemicals,"March,31",100
46190,JP3739000002,First Section,Chemicals,"March,31",100
46200,JP3811200009,First Section,Chemicals,"March,31",100
46210,JP3984400006,Second Section,Chemicals,"March,31",100
46230,JP3116400007,Second Section,Chemicals,"March,31",100
46240,JP3133200000,Second Section,Chemicals,"March,31",100
46260,JP3449100001,First Section,Chemicals,"March,31",100
46310,JP3493400000,First Section,Chemicals,"December,31",100
46330,JP3314800008,First Section,Chemicals,"December,31",100
46340,JP3606600009,First Section,Chemicals,"December,31",100
46350,JP3571000003,Second Section,Chemicals,"March,31",100
46360,JP3538570007,First Section,Chemicals,"March,31",100
49010,JP3814000000,First Section,Chemicals,"March,31",100
49110,JP3351600006,First Section,Chemicals,"December,31",100
49120,JP3965400009,First Section,Chemicals,"December,31",100
49140,JP3454400007,First Section,Chemicals,"March,31",100
49170,JP3879400004,First Section,Chemicals,"March,31",100
49190,JP3910650005,First Section,Chemicals,"December,31",100
49210,JP3802670004,First Section,Chemicals,"March,31",100
49220,JP3283650004,First Section,Chemicals,"March,31",100
49230,JP3298900006,First Section,Chemicals,"March,31",100
49260,JP3347130001,First Section,Chemicals,"March,31",100
49270,JP3855900001,First Section,Chemicals,"December,31",100
49280,JP3760450001,First Section,Chemicals,"September,30",100
49290,JP3119620007,First Section,Chemicals,"March,20",100
49310,JP3381200009,First Section,Chemicals,"September,30",100
49510,JP3162800001,First Section,Chemicals,"March,31",100
49520,JP3163200003,Second Section,Chemicals,"March,31",100
49550,JP3108200001,First Section,Chemicals,"December,31",100
49560,JP3300800004,First Section,Chemicals,"March,31",100
49570,JP3932900008,Second Section,Chemicals,"March,31",100
49580,JP3768500005,First Section,Chemicals,"September,30",100
49600,JP3281650006,Second Section,Chemicals,"March,31",100
49620,JP3307900005,Second Section,Chemicals,"March,31",100
49630,JP3746900004,First Section,Chemicals,"December,31",100
49660,JP3155350006,Second Section,Chemicals,"March,31",100
49670,JP3301100008,First Section,Chemicals,"December,31",100
49680,JP3125000004,First Section,Chemicals,"March,31",100
49710,JP3920890005,First Section,Chemicals,"December,31",100
49730,JP3706600008,First Section,Chemicals,"March,31",100
49740,JP3460200003,First Section,Chemicals,"March,31",100
49750,JP3166200000,First Section,Chemicals,"March,31",100
49770,JP3679870000,First Section,Chemicals,"March,31",100
49790,JP3174220008,First Section,Chemicals,"December,31",100
49800,JP3548770001,First Section,Chemicals,"March,31",100
49850,JP3100190002,First Section,Chemicals,"December,31",100
49870,JP3546000005,Second Section,Chemicals,"March,31",100
49900,JP3364800007,Second Section,Chemicals,"March,31",100
49920,JP3851000004,First Section,Chemicals,"November,30",100
49940,JP3444900009,First Section,Chemicals,"March,31",100
49960,JP3267600009,First Section,Chemicals,"October,31",100
49970,JP3741800001,First Section,Chemicals,"March,31",100
49980,JP3826000006,Second Section,Chemicals,"March,31",100
49990,JP3423400005,Second Section,Chemicals,"March,31",100
51420,JP3108000005,First Section,Chemicals,"March,31",100
52080,JP3126000003,First Section,Chemicals,"March,31",100
67760,JP3547600001,Second Section,Chemicals,"March,31",100
69880,JP3684000007,First Section,Chemicals,"March,31",100
78710,JP3806720003,Second Section,Chemicals,"March,31",100
78740,JP3410800001,First Section,Chemicals,"March,31",100
78880,JP3330900006,First Section,Chemicals,"May,31",100
79080,JP3242600009,First Section,Chemicals,"March,31",100
79170,JP3821000001,First Section,Chemicals,"March,31",100
79250,JP3860250004,First Section,Chemicals,"March,31",100
79310,JP3910600000,First Section,Chemicals,"March,20",100
79400,JP3687800007,First Section,Chemicals,"March,31",100
79420,JP3386000008,First Section,Chemicals,"March,31",100
79470,JP3167000003,First Section,Chemicals,"March,31",100
79580,JP3547800007,First Section,Chemicals,"March,31",100
79700,JP3371600002,First Section,Chemicals,"March,31",100
79710,JP3620600001,First Section,Chemicals,"March,31",100
79880,JP3756200006,First Section,Chemicals,"March,31",100
79950,JP3744200001,First Section,Chemicals,"March,31",100
81130,JP3951600000,First Section,Chemicals,"December,31",100
93850,JP3360100006,First Section,Chemicals,"March,31",100
98450,JP3780000000,Second Section,Chemicals,"March,31",100
