Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
14130,JP3792100004,First Section,Construction,"December,31",100
14140,JP3360250009,First Section,Construction,"June,30",100
14170,JP3910620008,First Section,Construction,"March,31",100
14190,JP3470900006,First Section,Construction,"May,31",100
14200,JP3337550002,First Section,Construction,"March,31",100
14290,JP3686140009,First Section,Construction,"December,31",100
14300,JP3802210009,First Section,Construction,"May,31",100
14330,JP3835550009,First Section,Construction,"January,31",100
14340,JP3386570000,Second Section,Construction,"August,31",100
14350,JP3153950005,First Section,Construction,"December,31",100
14430,JP3264300009,Second Section,Construction,"March,31",100
14460,JP3244530006,First Section,Construction,"September,30",100
14480,JP3400060004,First Section,Construction,"March,31",100
14510,JP3277630004,Second Section,Construction,"March,31",100
17110,JP3363000005,Second Section,Construction,"March,31",100
17120,JP3485700003,First Section,Construction,The end of February,100
17160,JP3473700007,First Section,Construction,"June,30",100
17190,JP3767810009,First Section,Construction,"March,31",100
17200,JP3567410000,First Section,Construction,"March,31",100
17210,JP3305530002,First Section,Construction,"March,31",100
17260,JP3799610005,First Section,Construction,"March,31",100
17370,JP3888350000,Second Section,Construction,"March,31",100
17430,JP3283450009,Second Section,Construction,"September,30",100
17570,JP3236100008,Second Section,Construction,"March,31",100
17620,JP3457900003,First Section,Construction,"March,31",100
17640,JP3266150006,Second Section,Construction,"June,30",100
17660,JP3590900001,First Section,Construction,"April,30",100
17680,JP3435700004,First Section,Construction,"March,31",100
17750,JP3820550006,Second Section,Construction,"March,31",100
17760,JP3892200001,Second Section,Construction,"March,31",100
17800,JP3934300009,First Section,Construction,"March,31",100
18010,JP3443600006,First Section,Construction,"March,31",100
18020,JP3190000004,First Section,Construction,"March,31",100
18030,JP3358800005,First Section,Construction,"March,31",100
18050,JP3629800008,First Section,Construction,"March,31",100
18080,JP3768600003,First Section,Construction,"March,31",100
18100,JP3863600007,First Section,Construction,"March,31",100
18110,JP3427800002,First Section,Construction,"March,31",100
18120,JP3210200006,First Section,Construction,"March,31",100
18130,JP3825600004,First Section,Construction,"March,31",100
18140,JP3485400000,First Section,Construction,"March,31",100
18150,JP3545600003,First Section,Construction,"March,31",100
18200,JP3659200004,First Section,Construction,"March,31",100
18210,JP3889200006,First Section,Construction,"March,31",100
18220,JP3498600000,First Section,Construction,"March,31",100
18240,JP3861200008,First Section,Construction,"March,31",100
18260,JP3319600007,First Section,Construction,"March,31",100
18270,JP3643600004,First Section,Construction,"March,31",100
18280,JP3468900000,Second Section,Construction,"March,31",100
18330,JP3194800003,First Section,Construction,"March,31",100
18350,JP3595400007,First Section,Construction,"March,31",100
18400,JP3533300004,Second Section,Construction,"October,31",100
18440,JP3190600001,Second Section,Construction,"July,31",100
18470,JP3141400006,First Section,Construction,"March,31",100
18480,JP3820650004,First Section,Construction,"March,31",100
18500,JP3652600002,Second Section,Construction,"March,31",100
18520,JP3110000001,First Section,Construction,"March,31",100
18530,JP3923600005,Second Section,Construction,"March,31",100
18600,JP3627000007,First Section,Construction,"March,31",100
18610,JP3266800006,First Section,Construction,"March,31",100
18660,JP3240000004,First Section,Construction,"March,31",100
18670,JP3154400000,First Section,Construction,"March,31",100
18700,JP3933200002,First Section,Construction,"March,31",100
18710,JP3801400007,First Section,Construction,"March,31",100
18730,JP3783500006,First Section,Construction,"October,31",100
18780,JP3486800000,First Section,Construction,"March,31",100
18790,JP3380300008,First Section,Construction,"March,31",100
18810,JP3750200002,First Section,Construction,"March,31",100
18820,JP3558000000,First Section,Construction,"March,31",100
18830,JP3861600009,First Section,Construction,"March,31",100
18840,JP3740200005,First Section,Construction,"March,31",100
18850,JP3556000002,First Section,Construction,"March,31",100
18870,JP3707200006,First Section,Construction,"May,31",100
18880,JP3990800009,First Section,Construction,"March,31",100
18900,JP3609800002,First Section,Construction,"March,31",100
18930,JP3309000002,First Section,Construction,"March,31",100
18970,JP3216600001,Second Section,Construction,"December,31",100
18980,JP3414600001,First Section,Construction,"March,31",100
18990,JP3805600008,First Section,Construction,"December,31",100
19110,JP3409800004,First Section,Construction,"December,31",100
19140,JP3697400004,First Section,Construction,"March,31",100
19210,JP3631400003,First Section,Construction,"March,31",100
19250,JP3505000004,First Section,Construction,"March,31",100
19260,JP3965800000,First Section,Construction,"March,31",100
19280,JP3420600003,First Section,Construction,"January,31",100
19290,JP3684800000,First Section,Construction,"March,31",100
19300,JP3845000003,First Section,Construction,"March,31",100
19340,JP3946200007,First Section,Construction,"March,31",100
19380,JP3510600004,First Section,Construction,"March,31",100
19390,JP3962600007,First Section,Construction,"March,31",100
19410,JP3524000001,First Section,Construction,"March,31",100
19420,JP3230600003,First Section,Construction,"March,31",100
19440,JP3263000006,First Section,Construction,"March,31",100
19450,JP3585400009,First Section,Construction,"March,31",100
19460,JP3552230009,First Section,Construction,"March,31",100
19480,JP3288600004,Second Section,Construction,"March,31",100
19490,JP3407800006,First Section,Construction,"March,31",100
19500,JP3736200001,First Section,Construction,"March,31",100
19510,JP3254200003,First Section,Construction,"March,31",100
19520,JP3380250005,First Section,Construction,"March,31",100
19590,JP3247050002,First Section,Construction,"March,31",100
19600,JP3335400002,Second Section,Construction,"March,31",100
19610,JP3325600009,First Section,Construction,"March,31",100
19630,JP3667600005,First Section,Construction,"March,31",100
19640,JP3519800001,First Section,Construction,"March,31",100
19650,JP3545040002,Second Section,Construction,"March,31",100
19660,JP3457600009,Second Section,Construction,"March,31",100
19670,JP3940800000,First Section,Construction,"March,20",100
19680,JP3447200001,First Section,Construction,"March,31",100
19690,JP3455200000,First Section,Construction,"March,31",100
19720,JP3330800008,First Section,Construction,"March,31",100
19750,JP3112800002,First Section,Construction,"March,31",100
19760,JP3918200001,First Section,Construction,"March,31",100
19790,JP3441200007,First Section,Construction,"March,31",100
19800,JP3486000007,First Section,Construction,"March,31",100
19820,JP3793400007,First Section,Construction,"March,31",100
32670,JP3802930002,First Section,Construction,"November,30",100
59120,JP3697600009,First Section,Construction,"March,31",100
63300,JP3607800004,First Section,Construction,"March,31",100
63660,JP3528600004,Second Section,Construction,"March,31",100
63790,JP3331600001,First Section,Construction,"March,31",100
