Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
31050,JP3678000005,First Section,Electric Appliances,"December,31",100
38560,JP3969530009,Second Section,Electric Appliances,"June,30",100
40620,JP3148800000,First Section,Electric Appliances,"March,31",100
49020,JP3300600008,First Section,Electric Appliances,"March,31",100
64480,JP3830000000,First Section,Electric Appliances,"March,31",100
64790,JP3906000009,First Section,Electric Appliances,"March,31",100
65010,JP3788600009,First Section,Electric Appliances,"March,31",100
65020,JP3592200004,First Section,Electric Appliances,"March,31",100
65030,JP3902400005,First Section,Electric Appliances,"March,31",100
65040,JP3820000002,First Section,Electric Appliances,"March,31",100
65050,JP3617000009,First Section,Electric Appliances,"May,31",100
65060,JP3932000007,First Section,Electric Appliances,The end of February,100
65070,JP3375400003,First Section,Electric Appliances,"March,31",100
65080,JP3919800007,First Section,Electric Appliances,"March,31",100
65130,JP3200400004,First Section,Electric Appliances,"March,31",100
65160,JP3340800006,First Section,Electric Appliances,"March,31",100
65170,JP3551600004,First Section,Electric Appliances,"March,31",100
65880,JP3594000006,First Section,Electric Appliances,"March,31",100
65900,JP3355000005,First Section,Electric Appliances,"March,31",100
65920,JP3870000001,First Section,Electric Appliances,"December,31",100
65940,JP3734800000,First Section,Electric Appliances,"March,31",100
66150,JP3944330004,First Section,Electric Appliances,"March,31",100
66160,JP3637280003,First Section,Electric Appliances,"March,31",100
66170,JP3591600006,First Section,Electric Appliances,"March,31",100
66190,JP3505970008,First Section,Electric Appliances,"December,31",100
66200,JP3907850006,First Section,Electric Appliances,"March,31",100
66220,JP3497800007,First Section,Electric Appliances,"March,31",100
66300,JP3930050004,First Section,Electric Appliances,"April,30",100
66320,JP3386410009,First Section,Electric Appliances,"March,31",100
66330,JP3126390008,Second Section,Electric Appliances,"December,31",100
66380,JP3907150001,First Section,Electric Appliances,"March,31",100
66390,JP3306030002,Second Section,Electric Appliances,"March,31",100
66400,JP3476210004,First Section,Electric Appliances,"December,31",100
66410,JP3677600003,First Section,Electric Appliances,"March,31",100
66430,JP3623400003,Second Section,Electric Appliances,"March,31",100
66440,JP3187600006,First Section,Electric Appliances,"March,31",100
66450,JP3197800000,First Section,Electric Appliances,"March,31",100
66470,JP3923200004,Second Section,Electric Appliances,"March,31",100
66510,JP3682400001,First Section,Electric Appliances,"March,31",100
66520,JP3138800002,First Section,Electric Appliances,"March,31",100
66530,JP3414900005,First Section,Electric Appliances,"December,31",100
66540,JP3820500001,First Section,Electric Appliances,"January,31",100
66560,JP3152650002,Second Section,Electric Appliances,"April,30",100
66680,JP3122010006,Second Section,Electric Appliances,"August,31",100
66700,JP3167420003,Second Section,Electric Appliances,"March,31",100
66740,JP3385820000,First Section,Electric Appliances,"March,31",100
66750,JP3471200000,First Section,Electric Appliances,"March,31",100
66760,JP3921080002,First Section,Electric Appliances,"March,31",100
66780,JP3545110003,First Section,Electric Appliances,"March,31",100
66980,JP3159970007,Second Section,Electric Appliances,"March,31",100
66990,JP3499480006,First Section,Electric Appliances,"March,31",100
67010,JP3733000008,First Section,Electric Appliances,"March,31",100
67020,JP3818000006,First Section,Electric Appliances,"March,31",100
67030,JP3194000000,First Section,Electric Appliances,"March,31",100
67040,JP3150400004,First Section,Electric Appliances,"March,31",100
67060,JP3550000008,First Section,Electric Appliances,"March,31",100
67070,JP3329600005,First Section,Electric Appliances,"March,31",100
67090,JP3918600002,Second Section,Electric Appliances,"March,31",100
67150,JP3646800007,First Section,Electric Appliances,"March,31",100
67180,JP3105050003,First Section,Electric Appliances,"March,31",100
67210,JP3154370005,Second Section,Electric Appliances,"December,31",100
67230,JP3164720009,First Section,Electric Appliances,"December,31",100
67240,JP3414750004,First Section,Electric Appliances,"March,31",100
