Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
95010,JP3585800000,First Section,Electric Power & Gas,"March,31",100
95020,JP3526600006,First Section,Electric Power & Gas,"March,31",100
95030,JP3228600007,First Section,Electric Power & Gas,"March,31",100
95040,JP3522200009,First Section,Electric Power & Gas,"March,31",100
95050,JP3845400005,First Section,Electric Power & Gas,"March,31",100
95060,JP3605400005,First Section,Electric Power & Gas,"March,31",100
95070,JP3350800003,First Section,Electric Power & Gas,"March,31",100
95080,JP3246400000,First Section,Electric Power & Gas,"March,31",100
95090,JP3850200001,First Section,Electric Power & Gas,"March,31",100
95110,JP3194700005,First Section,Electric Power & Gas,"March,31",100
95130,JP3551200003,First Section,Electric Power & Gas,"March,31",100
95140,JP3802140008,First Section,Electric Power & Gas,"June,30",100
95170,JP3130830007,First Section,Electric Power & Gas,"March,31",100
95190,JP3981200003,First Section,Electric Power & Gas,"March,31",100
95310,JP3573000001,First Section,Electric Power & Gas,"March,31",100
95320,JP3180400008,First Section,Electric Power & Gas,"March,31",100
95330,JP3600200004,First Section,Electric Power & Gas,"March,31",100
95340,JP3847000001,First Section,Electric Power & Gas,"March,31",100
95350,JP3796200008,First Section,Electric Power & Gas,"March,31",100
95360,JP3311600005,First Section,Electric Power & Gas,"March,31",100
95370,JP3843800008,Second Section,Electric Power & Gas,"March,31",100
95390,JP3281400006,Second Section,Electric Power & Gas,"December,31",100
95430,JP3351150002,First Section,Electric Power & Gas,"December,31",100
95510,JP3921260000,First Section,Electric Power & Gas,"March,31",100
