Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
20010,JP3723000000,First Section,Foods,"March,31",100
20020,JP3676800000,First Section,Foods,"March,31",100
20030,JP3683200004,First Section,Foods,"March,31",100
20040,JP3366400004,First Section,Foods,"March,31",100
20090,JP3636200002,First Section,Foods,"December,31",100
20530,JP3525400002,First Section,Foods,"March,31",100
20550,JP3666400001,Second Section,Foods,"March,31",100
20600,JP3802960009,First Section,Foods,"March,31",100
21070,JP3614600009,First Section,Foods,"March,31",100
21080,JP3732600006,First Section,Foods,"March,31",100
21090,JP3890400009,First Section,Foods,"March,31",100
21120,JP3168800005,First Section,Foods,"March,31",100
21140,JP3722200007,Second Section,Foods,"March,31",100
21170,JP3676600004,First Section,Foods,"March,31",100
22010,JP3926400007,First Section,Foods,"March,31",100
22040,JP3646000004,First Section,Foods,"March,31",100
22060,JP3161200005,First Section,Foods,"December,31",100
22070,JP3920200007,First Section,Foods,"March,31",100
22080,JP3831400001,Second Section,Foods,"March,31",100
22090,JP3149200002,First Section,Foods,"March,31",100
22110,JP3821200007,First Section,Foods,"December,31",100
22120,JP3935600001,First Section,Foods,"December,31",100
22150,JP3479400008,First Section,Foods,"December,31",100
22160,JP3233400005,Second Section,Foods,"December,31",100
22170,JP3927600001,First Section,Foods,"January,31",100
22200,JP3219800004,First Section,Foods,"March,31",100
22220,JP3299600001,First Section,Foods,"March,31",100
22290,JP3220580009,First Section,Foods,"March,31",100
22640,JP3926800008,First Section,Foods,"March,31",100
22660,JP3984800007,First Section,Foods,"December,31",100
22670,JP3931600005,First Section,Foods,"March,31",100
22690,JP3918000005,First Section,Foods,"March,31",100
22700,JP3947800003,First Section,Foods,"March,31",100
22810,JP3833200003,First Section,Foods,"March,31",100
22820,JP3743000006,First Section,Foods,"March,31",100
22860,JP3772200006,First Section,Foods,"March,31",100
22880,JP3876400007,First Section,Foods,"March,31",100
22910,JP3806600007,Second Section,Foods,"March,31",100
22920,JP3399300007,First Section,Foods,The end of February,100
22940,JP3206500005,First Section,Foods,The end of February,100
22960,JP3144500000,First Section,Foods,"March,31",100
25010,JP3320800000,First Section,Foods,"December,31",100
25020,JP3116000005,First Section,Foods,"December,31",100
25030,JP3258000003,First Section,Foods,"December,31",100
25310,JP3459600007,First Section,Foods,"March,31",100
25330,JP3307400006,First Section,Foods,"December,31",100
25400,JP3953800004,First Section,Foods,"March,31",100
25730,JP3847800004,Second Section,Foods,"December,31",100
25790,JP3293200006,First Section,Foods,"December,31",100
25870,JP3336560002,First Section,Foods,"December,31",100
25880,JP3155450004,Second Section,Foods,"March,31",100
25900,JP3488400007,First Section,Foods,"January,20",100
25930,JP3143000002,First Section,Foods,"April,30",100
25940,JP3236300004,First Section,Foods,"March,31",100
25970,JP3950820005,First Section,Foods,"December,31",100
25990,JP3389650007,First Section,Foods,"March,31",100
26020,JP3677200002,First Section,Foods,"March,31",100
26070,JP3816400000,First Section,Foods,"March,31",100
26120,JP3214400008,First Section,Foods,"March,31",100
26130,JP3840000008,First Section,Foods,"March,31",100
28010,JP3240400006,First Section,Foods,"March,31",100
28020,JP3119600009,First Section,Foods,"March,31",100
28040,JP3831200005,First Section,Foods,"March,31",100
28050,JP3163600004,Second Section,Foods,"March,31",100
28060,JP3949200004,Second Section,Foods,"March,31",100
28090,JP3244800003,First Section,Foods,"November,30",100
28100,JP3765400001,First Section,Foods,"March,31",100
28110,JP3208200000,First Section,Foods,"December,31",100
28120,JP3930100007,First Section,Foods,"March,31",100
28150,JP3125800007,First Section,Foods,"March,31",100
28160,JP3483900001,Second Section,Foods,"March,31",100
28180,JP3801590005,First Section,Foods,"March,31",100
28190,JP3165930003,First Section,Foods,"March,31",100
28200,JP3943100002,First Section,Foods,"June,30",100
28300,JP3105900009,Second Section,Foods,"November,30",100
28310,JP3767600004,Second Section,Foods,"March,31",100
28710,JP3665200006,First Section,Foods,"March,31",100
28720,JP3415600000,Second Section,Foods,The end of February,100
28750,JP3613000003,First Section,Foods,"March,31",100
28820,JP3130740008,First Section,Foods,"February,28",100
28830,JP3500150002,First Section,Foods,"March,31",100
28840,JP3958400008,First Section,Foods,The end of February,100
28920,JP3715600007,Second Section,Foods,"March,31",100
28940,JP3133600001,Second Section,Foods,"March,31",100
28970,JP3675600005,First Section,Foods,"March,31",100
28990,JP3648200008,First Section,Foods,"March,31",100
29030,JP3354200002,Second Section,Foods,"March,31",100
29040,JP3142200009,First Section,Foods,"June,30",100
29070,JP3119400004,Second Section,Foods,"March,31",100
29080,JP3818700001,First Section,Foods,"March,31",100
29100,JP3984200000,First Section,Foods,"April,30",100
29110,JP3117000004,Second Section,Foods,"March,31",100
29140,JP3726800000,First Section,Foods,"December,31",100
29150,JP3281850002,First Section,Foods,"March,31",100
29180,JP3994400004,First Section,Foods,The end of February,100
29220,JP3651060000,First Section,Foods,"March,31",100
29230,JP3322110002,Second Section,Foods,"April,30",100
29240,JP3148950003,First Section,Foods,"March,31",100
29250,JP3801800008,First Section,Foods,The end of February,100
29260,JP3354050001,Second Section,Foods,"September,30",100
29290,JP3802310007,First Section,Foods,"July,31",100
29300,JP3240100002,First Section,Foods,The end of February,100
29310,JP3944370000,First Section,Foods,"September,30",100
29320,JP3163130002,Second Section,Foods,"December,31",100
44040,JP3910400005,First Section,Foods,"December,31",100
45260,JP3972600005,First Section,Foods,"March,31",100
