Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
31100,JP3684400009,First Section,Glass & Ceramics Products,"March,31",100
40260,JP3289000006,Second Section,Glass & Ceramics Products,"April,30",100
52010,JP3112000009,First Section,Glass & Ceramics Products,"December,31",100
52020,JP3686800008,First Section,Glass & Ceramics Products,"March,31",100
52040,JP3136000001,First Section,Glass & Ceramics Products,"March,20",100
52100,JP3752800007,First Section,Glass & Ceramics Products,"March,31",100
52140,JP3733400000,First Section,Glass & Ceramics Products,"December,31",100
52180,JP3197630001,First Section,Glass & Ceramics Products,"October,31",100
52320,JP3400900001,First Section,Glass & Ceramics Products,"March,31",100
52330,JP3449020001,First Section,Glass & Ceramics Products,"March,31",100
52370,JP3761400005,Second Section,Glass & Ceramics Products,"March,31",100
52620,JP3745800007,First Section,Glass & Ceramics Products,"March,31",100
52680,JP3113200004,Second Section,Glass & Ceramics Products,"March,31",100
52690,JP3708400001,First Section,Glass & Ceramics Products,"March,31",100
52710,JP3554200000,Second Section,Glass & Ceramics Products,The end of February,100
52730,JP3887600009,First Section,Glass & Ceramics Products,"March,31",100
52820,JP3386250009,Second Section,Glass & Ceramics Products,"March,31",100
52870,JP3142900004,Second Section,Glass & Ceramics Products,"March,31",100
52880,JP3389640008,First Section,Glass & Ceramics Products,"March,31",100
52900,JP3835790001,Second Section,Glass & Ceramics Products,"March,31",100
53010,JP3560800009,First Section,Glass & Ceramics Products,"December,31",100
53020,JP3690400001,First Section,Glass & Ceramics Products,"December,31",100
53040,JP3161600006,Second Section,Glass & Ceramics Products,"March,31",100
53100,JP3616000000,First Section,Glass & Ceramics Products,"December,31",100
53310,JP3763000001,First Section,Glass & Ceramics Products,"March,31",100
53320,JP3596200000,First Section,Glass & Ceramics Products,"March,31",100
53330,JP3695200000,First Section,Glass & Ceramics Products,"March,31",100
53340,JP3738600000,First Section,Glass & Ceramics Products,"March,31",100
53370,JP3506600000,First Section,Glass & Ceramics Products,"December,31",100
53410,JP3110800004,Second Section,Glass & Ceramics Products,"November,30",100
53440,JP3879250003,First Section,Glass & Ceramics Products,"March,31",100
53510,JP3353200003,First Section,Glass & Ceramics Products,"March,31",100
53520,JP3272400007,First Section,Glass & Ceramics Products,"March,31",100
53550,JP3755400003,Second Section,Glass & Ceramics Products,"March,31",100
53570,JP3953600008,First Section,Glass & Ceramics Products,"March,31",100
53580,JP3140800008,First Section,Glass & Ceramics Products,"March,31",100
53630,JP3589400005,First Section,Glass & Ceramics Products,"March,31",100
53670,JP3667000008,First Section,Glass & Ceramics Products,"March,31",100
53680,JP3687500003,Second Section,Glass & Ceramics Products,"March,31",100
53840,JP3820900003,First Section,Glass & Ceramics Products,"March,31",100
53860,JP3536800000,Second Section,Glass & Ceramics Products,"March,31",100
53880,JP3266200009,First Section,Glass & Ceramics Products,"March,31",100
53910,JP3119800005,First Section,Glass & Ceramics Products,"March,31",100
53930,JP3660400007,First Section,Glass & Ceramics Products,"March,31",100
53950,JP3971800002,Second Section,Glass & Ceramics Products,"December,31",100
79430,JP3662200009,First Section,Glass & Ceramics Products,"March,31",100
