Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
19730,JP3733800001,First Section,Information & Communication,"March,31",100
23070,JP3272600002,First Section,Information & Communication,"March,31",100
23170,JP3351050004,First Section,Information & Communication,"March,31",100
23260,JP3549020000,First Section,Information & Communication,"March,31",100
23270,JP3379900008,First Section,Information & Communication,"March,31",100
23350,JP3244950006,First Section,Information & Communication,"March,31",100
23380,JP3345580009,Second Section,Information & Communication,The end of February,100
23450,JP3351020007,Second Section,Information & Communication,"October,31",100
23520,JP3160770008,First Section,Information & Communication,"March,31",100
23540,JP3931800001,Second Section,Information & Communication,The end of February,100
23590,JP3284000001,First Section,Information & Communication,"March,31",100
30310,JP3967050000,First Section,Information & Communication,"April,30",100
30400,JP3436300002,First Section,Information & Communication,"December,31",100
33710,JP3436040004,First Section,Information & Communication,"March,31",100
36260,JP3104890003,First Section,Information & Communication,"March,31",100
36270,JP3832370005,First Section,Information & Communication,The end of February,100
36300,JP3551420007,First Section,Information & Communication,"December,31",100
36320,JP3274070006,First Section,Information & Communication,"June,30",100
36330,JP3836100002,First Section,Information & Communication,"December,31",100
36340,JP3433300005,Second Section,Information & Communication,"March,31",100
36350,JP3283460008,First Section,Information & Communication,"March,31",100
36360,JP3902200009,First Section,Information & Communication,"September,30",100
36390,JP3855700005,First Section,Information & Communication,"June,30",100
36400,JP3551410008,First Section,Information & Communication,"March,31",100
36470,JP3300950007,Second Section,Information & Communication,"August,31",100
36480,JP3160460006,First Section,Information & Communication,"March,31",100
36490,JP3801450002,First Section,Information & Communication,"December,31",100
36550,JP3831460005,First Section,Information & Communication,"June,30",100
36560,JP3268870007,First Section,Information & Communication,"December,31",100
36570,JP3855950006,First Section,Information & Communication,"January,31",100
36580,JP3130820008,First Section,Information & Communication,"March,31",100
36590,JP3758190007,First Section,Information & Communication,"December,31",100
36600,JP3102320003,First Section,Information & Communication,"June,30",100
36610,JP3167310006,First Section,Information & Communication,"March,31",100
36620,JP3160890004,First Section,Information & Communication,"July,31",100
36630,JP3100260003,Second Section,Information & Communication,"December,31",100
36650,JP3164590006,First Section,Information & Communication,"January,31",100
36660,JP3545230009,First Section,Information & Communication,"March,31",100
36670,JP3164580007,First Section,Information & Communication,"December,31",100
36680,JP3305960001,First Section,Information & Communication,"September,30",100
36720,JP3201800004,First Section,Information & Communication,"September,30",100
36730,JP3831490002,First Section,Information & Communication,"December,31",100
36750,JP3272760004,First Section,Information & Communication,"December,31",100
36760,JP3765110006,First Section,Information & Communication,"March,31",100
36770,JP3350940007,First Section,Information & Communication,"September,30",100
36780,JP3921230003,First Section,Information & Communication,The end of February,100
36790,JP3386490001,First Section,Information & Communication,"March,31",100
36810,JP3829750003,First Section,Information & Communication,"December,31",100
36820,JP3168300006,First Section,Information & Communication,"March,31",100
36830,JP3311540003,First Section,Information & Communication,"December,31",100
36860,JP3548760002,First Section,Information & Communication,"March,31",100
36870,JP3802950000,First Section,Information & Communication,"September,30",100
36880,JP3855650002,First Section,Information & Communication,"December,31",100
36940,JP3197690005,First Section,Information & Communication,"March,31",100
36960,JP3423570005,First Section,Information & Communication,"December,31",100
36970,JP3355400007,First Section,Information & Communication,"August,31",100
37120,JP3393500008,Second Section,Information & Communication,"September,30",100
37380,JP3893700009,First Section,Information & Communication,"March,31",100
37410,JP3422190003,First Section,Information & Communication,"March,31",100
37440,JP3547100002,Second Section,Information & Communication,"December,31",100
37470,JP3152810002,Second Section,Information & Communication,"September,30",100
37500,JP3426500009,Second Section,Information & Communication,"March,31",100
37510,JP3385840008,First Section,Information & Communication,"March,31",100
37530,JP3826280004,Second Section,Information & Communication,"March,31",100
37620,JP3545130001,First Section,Information & Communication,"March,31",100
37630,JP3833730009,First Section,Information & Communication,"March,31",100
37650,JP3235900002,First Section,Information & Communication,"December,31",100
37680,JP3974180006,Second Section,Information & Communication,"March,31",100
37690,JP3385890003,First Section,Information & Communication,"September,30",100
37700,JP3345770006,First Section,Information & Communication,"April,30",100
37710,JP3351070002,First Section,Information & Communication,"March,31",100
37740,JP3152820001,First Section,Information & Communication,"March,31",100
37780,JP3317300006,First Section,Information & Communication,"March,31",100
37840,JP3159980006,First Section,Information & Communication,"December,31",100
37870,JP3545170007,Second Section,Information & Communication,"March,31",100
37880,JP3386040004,First Section,Information & Communication,"December,31",100
37960,JP3131050001,Second Section,Information & Communication,"March,31",100
37990,JP3236150003,Second Section,Information & Communication,"March,31",100
38100,JP3311520005,Second Section,Information & Communication,"May,31",100
38170,JP3161450006,First Section,Information & Communication,"March,31",100
38230,JP3108120001,Second Section,Information & Communication,"August,31",100
38250,JP3974900007,Second Section,Information & Communication,"March,31",100
38260,JP3350930008,First Section,Information & Communication,The end of February,100
38340,JP3115800009,First Section,Information & Communication,"March,31",100
38350,JP3130790003,First Section,Information & Communication,"March,31",100
38360,JP3548680002,First Section,Information & Communication,"June,30",100
38370,JP3122030004,First Section,Information & Communication,"March,31",100
38390,JP3172440004,First Section,Information & Communication,"March,31",100
38400,JP3130250008,Second Section,Information & Communication,"March,31",100
38430,JP3826720009,First Section,Information & Communication,"April,30",100
38440,JP3305560009,First Section,Information & Communication,"March,31",100
38500,JP3165830005,Second Section,Information & Communication,"March,31",100
38520,JP3311510006,First Section,Information & Communication,"December,31",100
38530,JP3153470004,First Section,Information & Communication,"March,31",100
38540,JP3105180008,First Section,Information & Communication,"July,31",100
39010,JP3860210008,First Section,Information & Communication,"December,31",100
39020,JP3921250001,First Section,Information & Communication,"December,31",100
39030,JP3273810006,First Section,Information & Communication,"April,30",100
39090,JP3360120004,First Section,Information & Communication,"December,31",100
39120,JP3922980002,First Section,Information & Communication,"December,31",100
39150,JP3546300009,First Section,Information & Communication,The end of February,100
39160,JP3549060006,First Section,Information & Communication,"June,30",100
39180,JP3801470000,First Section,Information & Communication,"September,30",100
39190,JP3780550004,First Section,Information & Communication,The end of February,100
39200,JP3104940006,First Section,Information & Communication,"September,30",100
39210,JP3758230001,First Section,Information & Communication,"January,31",100
39220,JP3801050000,First Section,Information & Communication,The end of February,100
39240,JP3968840003,First Section,Information & Communication,"March,31",100
39250,JP3505980007,First Section,Information & Communication,"March,31",100
39260,JP3173560008,First Section,Information & Communication,"March,31",100
39280,JP3860330004,First Section,Information & Communication,"December,31",100
39320,JP3107000006,First Section,Information & Communication,"March,31",100
39340,JP3835680004,First Section,Information & Communication,"March,31",100
39370,JP3160910000,First Section,Information & Communication,"March,31",100
39390,JP3215100003,First Section,Information & Communication,"September,30",100
39400,JP3762500001,First Section,Information & Communication,"December,31",100
39620,JP3507750002,First Section,Information & Communication,"September,30",100
39630,JP3372300008,First Section,Information & Communication,"March,31",100
39640,JP3172060000,First Section,Information & Communication,"December,31",100
39650,JP3244420000,First Section,Information & Communication,"September,30",100
39680,JP3421350004,First Section,Information & Communication,"December,31",100
39690,JP3160930008,First Section,Information & Communication,"March,31",100
39750,JP3105330009,First Section,Information & Communication,"December,31",100
39780,JP3863030007,First Section,Information & Communication,"June,30",100
39810,JP3799710003,First Section,Information & Communication,"December,31",100
39830,JP3201900002,First Section,Information & Communication,"December,31",100
39840,JP3944410004,First Section,Information & Communication,"June,30",100
39850,JP3545850004,First Section,Information & Communication,"September,30",100
39920,JP3654100001,First Section,Information & Communication,"September,30",100
39960,JP3312170008,First Section,Information & Communication,The end of February,100
42840,JP3436400000,First Section,Information & Communication,"December,31",100
42950,JP3802690002,First Section,Information & Communication,"March,31",100
42980,JP3833740008,First Section,Information & Communication,"March,31",100
42990,JP3765250000,First Section,Information & Communication,"March,31",100
43070,JP3762800005,First Section,Information & Communication,"March,31",100
43120,JP3311570000,First Section,Information & Communication,"December,31",100
43200,JP3346350006,First Section,Information & Communication,"September,30",100
43230,JP3712550007,First Section,Information & Communication,"March,31",100
43260,JP3152790006,First Section,Information & Communication,"June,30",100
43330,JP3601600004,First Section,Information & Communication,"March,31",100
43440,JP3431200009,First Section,Information & Communication,"March,31",100
43480,JP3153450006,First Section,Information & Communication,"March,31",100
43820,JP3783070000,First Section,Information & Communication,"April,30",100
43840,JP3967180005,First Section,Information & Communication,"July,31",100
43860,JP3161590009,Second Section,Information & Communication,"March,31",100
43900,JP3104910009,First Section,Information & Communication,"March,31",100
43920,JP3166650006,First Section,Information & Communication,"December,31",100
43960,JP3350960005,First Section,Information & Communication,"June,30",100
44200,JP3130650009,First Section,Information & Communication,"December,31",100
44230,JP3126240005,First Section,Information & Communication,"March,31",100
44270,JP3164480000,First Section,Information & Communication,"September,30",100
44300,JP3564800005,First Section,Information & Communication,"May,31",100
44330,JP3791990009,First Section,Information & Communication,"August,31",100
44340,JP3310250000,First Section,Information & Communication,The end of February,100
44390,JP3606150005,First Section,Information & Communication,"August,31",100
44400,JP3159930001,First Section,Information & Communication,"August,31",100
44410,JP3630000002,First Section,Information & Communication,"October,31",100
44430,JP3332540008,First Section,Information & Communication,"May,31",100
44460,JP3977060007,First Section,Information & Communication,"July,31",100
44490,JP3264870001,First Section,Information & Communication,"December,31",100
44810,JP3835210000,First Section,Information & Communication,"December,31",100
44940,JP3778490007,Second Section,Information & Communication,The end of February,100
46620,JP3802740005,First Section,Information & Communication,"March,31",100
46740,JP3271100004,First Section,Information & Communication,"March,31",100
46760,JP3819400007,First Section,Information & Communication,"March,31",100
46840,JP3173400007,First Section,Information & Communication,"March,31",100
46860,JP3388450003,First Section,Information & Communication,"March,31",100
46870,JP3539000004,First Section,Information & Communication,"March,31",100
46890,JP3933800009,First Section,Information & Communication,"March,31",100
47040,JP3637300009,First Section,Information & Communication,"December,31",100
47090,JP3153600006,First Section,Information & Communication,"March,31",100
47160,JP3689500001,First Section,Information & Communication,"May,31",100
47190,JP3126330004,First Section,Information & Communication,"March,31",100
47220,JP3826200002,First Section,Information & Communication,"December,31",100
47250,JP3346300001,First Section,Information & Communication,"December,31",100
47260,JP3436150001,First Section,Information & Communication,"March,31",100
47280,JP3552450003,First Section,Information & Communication,"August,31",100
47330,JP3173500004,First Section,Information & Communication,"March,31",100
47390,JP3143900003,First Section,Information & Communication,"March,31",100
47430,JP3530000003,First Section,Information & Communication,"March,31",100
47460,JP3590850008,First Section,Information & Communication,"December,31",100
47610,JP3317500001,Second Section,Information & Communication,"March,31",100
47620,JP3164430005,First Section,Information & Communication,"March,31",100
47680,JP3188200004,First Section,Information & Communication,"December,31",100
47700,JP3167800006,Second Section,Information & Communication,"March,31",100
47760,JP3312100005,First Section,Information & Communication,"December,31",100
48120,JP3551530003,First Section,Information & Communication,"December,31",100
48130,JP3108060009,First Section,Information & Communication,"January,31",100
48190,JP3549070005,First Section,Information & Communication,"March,31",100
48200,JP3130200003,First Section,Information & Communication,"December,31",100
48250,JP3154500007,First Section,Information & Communication,"May,31",100
48260,JP3346170008,First Section,Information & Communication,"June,30",100
48280,JP3618800001,First Section,Information & Communication,"March,31",100
48290,JP3689470007,First Section,Information & Communication,"May,31",100
48320,JP3226650004,Second Section,Information & Communication,"March,31",100
48390,JP3990770004,First Section,Information & Communication,"March,31",100
48450,JP3548520000,First Section,Information & Communication,"June,30",100
48470,JP3153100007,First Section,Information & Communication,"June,30",100
68790,JP3802900005,First Section,Information & Communication,"March,31",100
75180,JP3758200004,First Section,Information & Communication,"March,31",100
75270,JP3351000009,First Section,Information & Communication,"September,30",100
75950,JP3126110000,First Section,Information & Communication,"March,31",100
78440,JP3860230006,First Section,Information & Communication,"March,31",100
78600,JP3160950006,First Section,Information & Communication,"March,31",100
80560,JP3754200008,First Section,Information & Communication,"March,31",100
80960,JP3217200009,First Section,Information & Communication,"March,31",100
81570,JP3533800003,First Section,Information & Communication,"March,31",100
93600,JP3398800007,Second Section,Information & Communication,"March,31",100
94010,JP3588600001,First Section,Information & Communication,"March,31",100
94040,JP3732200005,First Section,Information & Communication,"March,31",100
94050,JP3116800008,First Section,Information & Communication,"March,31",100
94090,JP3429000007,First Section,Information & Communication,"March,31",100
94120,JP3396350005,First Section,Information & Communication,"March,31",100
94130,JP3547060008,First Section,Information & Communication,"March,31",100
94140,JP3746000003,First Section,Information & Communication,"August,31",100
94160,JP3800330007,First Section,Information & Communication,"December,31",100
