Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
54010,JP3381000003,First Section,Iron & Steel,"March,31",100
54060,JP3289800009,First Section,Iron & Steel,"March,31",100
54080,JP3646400006,First Section,Iron & Steel,"March,31",100
54100,JP3307800007,First Section,Iron & Steel,"March,31",100
54110,JP3386030005,First Section,Iron & Steel,"March,31",100
54230,JP3579800008,First Section,Iron & Steel,"March,31",100
54400,JP3247400009,First Section,Iron & Steel,"March,31",100
54440,JP3940400009,First Section,Iron & Steel,"March,31",100
54450,JP3584600005,First Section,Iron & Steel,"March,31",100
54460,JP3842200002,Second Section,Iron & Steel,"March,31",100
54490,JP3184600009,First Section,Iron & Steel,"March,31",100
54510,JP3959400007,First Section,Iron & Steel,"March,31",100
54580,JP3454800008,Second Section,Iron & Steel,"March,31",100
54630,JP3871200006,First Section,Iron & Steel,"March,31",100
54640,JP3924000007,First Section,Iron & Steel,"March,31",100
54710,JP3491000000,First Section,Iron & Steel,"March,31",100
54760,JP3706400003,First Section,Iron & Steel,"March,31",100
54800,JP3752600001,First Section,Iron & Steel,"March,31",100
54810,JP3342000001,First Section,Iron & Steel,"March,31",100
54820,JP3103600007,First Section,Iron & Steel,"March,31",100
54860,JP3786200000,First Section,Iron & Steel,"March,31",100
54910,JP3698000001,First Section,Iron & Steel,"March,31",100
55410,JP3448000004,First Section,Iron & Steel,"March,31",100
55630,JP3734600004,First Section,Iron & Steel,"December,31",100
56020,JP3270800000,First Section,Iron & Steel,"March,31",100
56030,JP3286400001,First Section,Iron & Steel,"March,31",100
56090,JP3728200001,Second Section,Iron & Steel,"March,31",100
56100,JP3503400008,Second Section,Iron & Steel,"December,31",100
56120,JP3728600002,First Section,Iron & Steel,"March,31",100
56320,JP3900800008,First Section,Iron & Steel,"March,31",100
56440,JP3920900002,Second Section,Iron & Steel,"March,31",100
56580,JP3660000005,First Section,Iron & Steel,"March,31",100
56590,JP3721800005,First Section,Iron & Steel,"March,31",100
56600,JP3373200009,Second Section,Iron & Steel,"March,31",100
56900,JP3974570008,Second Section,Iron & Steel,"June,30",100
56970,JP3337400000,Second Section,Iron & Steel,"March,31",100
56980,JP3169750001,First Section,Iron & Steel,"June,30",100
63190,JP3379600004,First Section,Iron & Steel,"March,31",100
73050,JP3125600001,First Section,Iron & Steel,"March,31",100
