Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
23840,JP3163500006,First Section,Land Transportation,"December,31",100
90010,JP3597800006,First Section,Land Transportation,"March,31",100
90030,JP3316400005,First Section,Land Transportation,"March,31",100
90050,JP3574200006,First Section,Land Transportation,"March,31",100
90060,JP3280200001,First Section,Land Transportation,"March,31",100
90070,JP3196000008,First Section,Land Transportation,"March,31",100
90080,JP3277800003,First Section,Land Transportation,"March,31",100
90090,JP3278600006,First Section,Land Transportation,"March,31",100
90100,JP3810400006,First Section,Land Transportation,"March,31",100
90140,JP3372400006,First Section,Land Transportation,"March,31",100
90170,JP3654400005,Second Section,Land Transportation,"March,31",100
90200,JP3783600004,First Section,Land Transportation,"March,31",100
90210,JP3659000008,First Section,Land Transportation,"March,31",100
90220,JP3566800003,First Section,Land Transportation,"March,31",100
90240,JP3417200007,First Section,Land Transportation,"March,31",100
90250,JP3288970001,First Section,Land Transportation,"March,31",100
90280,JP3428870004,Second Section,Land Transportation,"June,30",100
90290,JP3783480001,Second Section,Land Transportation,"March,31",100
90310,JP3658800002,First Section,Land Transportation,"March,31",100
90330,JP3798600007,Second Section,Land Transportation,"March,31",100
90370,JP3771150004,First Section,Land Transportation,"March,31",100
90390,JP3314200001,First Section,Land Transportation,"March,31",100
90410,JP3260800002,First Section,Land Transportation,"March,31",100
90420,JP3774200004,First Section,Land Transportation,"March,31",100
90440,JP3653000004,First Section,Land Transportation,"March,31",100
90450,JP3279400000,First Section,Land Transportation,"March,31",100
90460,JP3290600000,First Section,Land Transportation,"March,31",100
90480,JP3649800004,First Section,Land Transportation,"March,31",100
90490,JP3281000004,Second Section,Land Transportation,"March,31",100
90520,JP3341600009,First Section,Land Transportation,"March,31",100
90550,JP3126450000,First Section,Land Transportation,"March,31",100
90590,JP3229980002,Second Section,Land Transportation,"March,31",100
90620,JP3729400006,First Section,Land Transportation,"March,31",100
90630,JP3193800004,Second Section,Land Transportation,"March,31",100
90640,JP3940000007,First Section,Land Transportation,"March,31",100
90650,JP3326000001,First Section,Land Transportation,"March,31",100
90670,JP3871600007,First Section,Land Transportation,"March,31",100
90680,JP3876000005,First Section,Land Transportation,"March,31",100
90690,JP3423800006,First Section,Land Transportation,"March,31",100
90700,JP3629400007,First Section,Land Transportation,"March,31",100
90720,JP3709600005,First Section,Land Transportation,"March,31",100
90740,JP3724600006,First Section,Land Transportation,"March,31",100
90750,JP3806800003,First Section,Land Transportation,"March,31",100
90760,JP3415400005,First Section,Land Transportation,"March,31",100
90780,JP3164000006,First Section,Land Transportation,"March,31",100
90810,JP3214600003,First Section,Land Transportation,"March,31",100
90820,JP3503000006,Second Section,Land Transportation,"March,31",100
90830,JP3372000004,Second Section,Land Transportation,"March,31",100
90860,JP3791200003,First Section,Land Transportation,"March,31",100
90900,JP3879170003,First Section,Land Transportation,"March,31",100
90990,JP3346180007,First Section,Land Transportation,"March,31",100
91420,JP3247010006,First Section,Land Transportation,"March,31",100
91430,JP3162770006,First Section,Land Transportation,"March,31",100
91450,JP3799660000,Second Section,Land Transportation,"December,31",100
