Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
19090,JP3740800002,First Section,Machinery,"March,31",100
56310,JP3721400004,First Section,Machinery,"March,31",100
60050,JP3880800002,First Section,Machinery,"March,31",100
60130,JP3462600002,First Section,Machinery,"March,31",100
60220,JP3106800000,Second Section,Machinery,"March,31",100
61010,JP3531800005,First Section,Machinery,"March,31",100
61030,JP3172100004,First Section,Machinery,"March,31",100
61040,JP3592600005,First Section,Machinery,"March,31",100
61130,JP3122800000,First Section,Machinery,"March,31",100
61180,JP3102400003,First Section,Machinery,"March,31",100
61210,JP3461800009,First Section,Machinery,"March,31",100
61250,JP3193200007,Second Section,Machinery,"March,31",100
61310,JP3770600009,Second Section,Machinery,"March,31",100
61340,JP3809200003,First Section,Machinery,"March,31",100
61350,JP3862800004,First Section,Machinery,"March,31",100
61360,JP3170800001,First Section,Machinery,"November,30",100
61370,JP3284200007,Second Section,Machinery,"March,31",100
61380,JP3485000008,First Section,Machinery,"March,31",100
61400,JP3114400009,First Section,Machinery,"March,31",100
61410,JP3924800000,First Section,Machinery,"December,31",100
61430,JP3434200006,First Section,Machinery,"December,31",100
61440,JP3416600009,Second Section,Machinery,"March,31",100
61460,JP3548600000,First Section,Machinery,"March,31",100
61510,JP3682300003,First Section,Machinery,"March,31",100
61550,JP3457850000,Second Section,Machinery,"March,31",100
61570,JP3675320000,First Section,Machinery,"March,31",100
61610,JP3163150000,Second Section,Machinery,"March,20",100
61650,JP3782950004,First Section,Machinery,"March,31",100
61670,JP3817400009,First Section,Machinery,"March,31",100
62030,JP3840600005,First Section,Machinery,"March,31",100
62050,JP3180800009,First Section,Machinery,"March,31",100
62080,JP3135200008,First Section,Machinery,"March,31",100
62100,JP3609000009,First Section,Machinery,"March,31",100
62170,JP3533000000,First Section,Machinery,"November,30",100
62180,JP3168400004,First Section,Machinery,"March,31",100
62220,JP3356500003,First Section,Machinery,"March,31",100
62290,JP3172170007,Second Section,Machinery,"March,31",100
62300,JP3324650005,Second Section,Machinery,"March,31",100
62310,JP3242200008,Second Section,Machinery,"March,31",100
62350,JP3197760006,First Section,Machinery,"December,31",100
62360,JP3165100003,First Section,Machinery,"March,31",100
62370,JP3150100000,First Section,Machinery,"March,31",100
62380,JP3826770004,First Section,Machinery,"March,31",100
62400,JP3936600000,First Section,Machinery,"March,31",100
62450,JP3795800006,Second Section,Machinery,"March,31",100
62460,JP3147200004,Second Section,Machinery,"March,31",100
62470,JP3784200002,First Section,Machinery,"March,31",100
62500,JP3943000004,First Section,Machinery,"December,31",100
62540,JP3762950008,Second Section,Machinery,"March,31",100
62580,JP3795300007,First Section,Machinery,"March,31",100
62620,JP3836300008,First Section,Machinery,"March,31",100
62640,JP3878150006,First Section,Machinery,"August,31",100
62660,JP3468000009,First Section,Machinery,"December,31",100
62680,JP3651210001,First Section,Machinery,"December,31",100
62690,JP3888250002,First Section,Machinery,"December,31",100
62710,JP3678400007,Second Section,Machinery,"March,31",100
62720,JP3979400003,First Section,Machinery,"March,31",100
62730,JP3162600005,First Section,Machinery,"March,31",100
62770,JP3846000002,First Section,Machinery,"September,30",100
62780,JP3950600001,First Section,Machinery,"December,31",100
62790,JP3411900008,Second Section,Machinery,"February,20",100
