Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
91010,JP3753000003,First Section,Marine Transportation,"March,31",100
91040,JP3362700001,First Section,Marine Transportation,"March,31",100
91070,JP3223800008,First Section,Marine Transportation,"March,31",100
91100,JP3385000009,First Section,Marine Transportation,"March,31",100
91150,JP3916200003,First Section,Marine Transportation,"March,31",100
91190,JP3131200002,First Section,Marine Transportation,"March,31",100
91270,JP3470600002,Second Section,Marine Transportation,"March,31",100
91300,JP3247600004,First Section,Marine Transportation,"March,31",100
91710,JP3270400009,Second Section,Marine Transportation,"March,31",100
91730,JP3562000004,Second Section,Marine Transportation,"December,31",100
91790,JP3224000004,Second Section,Marine Transportation,"March,31",100
93080,JP3146800002,First Section,Marine Transportation,"March,31",100
