Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
19710,JP3518200005,Second Section,Metal Products,"March,31",100
34200,JP3277100008,Second Section,Metal Products,"March,31",100
34210,JP3145800003,First Section,Metal Products,"July,31",100
34310,JP3908700002,First Section,Metal Products,"March,31",100
34330,JP3552290003,First Section,Metal Products,"March,31",100
34340,JP3126360001,First Section,Metal Products,"March,31",100
34350,JP3330500004,Second Section,Metal Products,"March,31",100
34360,JP3322930003,First Section,Metal Products,"December,31",100
34400,JP3679830004,Second Section,Metal Products,"August,31",100
34430,JP3226300006,First Section,Metal Products,"March,31",100
34450,JP3100350002,First Section,Metal Products,"December,31",100
34460,JP3386660009,First Section,Metal Products,"June,30",100
34470,JP3384730002,First Section,Metal Products,"March,31",100
34490,JP3545260006,Second Section,Metal Products,"December,31",100
59010,JP3613400005,First Section,Metal Products,"March,31",100
59020,JP3846600009,First Section,Metal Products,"March,31",100
59050,JP3720400005,Second Section,Metal Products,"March,31",100
59070,JP3226550006,Second Section,Metal Products,"March,31",100
59090,JP3305950002,First Section,Metal Products,"March,31",100
59110,JP3955200005,First Section,Metal Products,"March,31",100
59150,JP3302600006,First Section,Metal Products,"March,31",100
59180,JP3461400008,Second Section,Metal Products,"March,31",100
59210,JP3222200002,Second Section,Metal Products,"September,30",100
59220,JP3651000006,Second Section,Metal Products,"March,31",100
59230,JP3457200008,First Section,Metal Products,"March,31",100
59280,JP3126500002,Second Section,Metal Products,"March,31",100
59290,JP3344400001,First Section,Metal Products,"March,31",100
59300,JP3831600006,First Section,Metal Products,"March,31",100
59320,JP3326800004,First Section,Metal Products,"May,31",100
59330,JP3126100001,First Section,Metal Products,"March,20",100
59360,JP3611400007,First Section,Metal Products,"March,31",100
59380,JP3626800001,First Section,Metal Products,"March,31",100
59400,JP3813500000,Second Section,Metal Products,"March,31",100
59410,JP3642600005,Second Section,Metal Products,"March,31",100
59420,JP3748600008,First Section,Metal Products,"November,30",100
59430,JP3759400009,First Section,Metal Products,"December,31",100
59460,JP3527800001,First Section,Metal Products,"December,31",100
59470,JP3977400005,First Section,Metal Products,"March,31",100
59500,JP3745200000,Second Section,Metal Products,"December,31",100
59510,JP3492000009,First Section,Metal Products,"March,31",100
59520,JP3124000005,Second Section,Metal Products,"March,31",100
59550,JP3936400005,Second Section,Metal Products,"March,31",100
59560,JP3552500005,Second Section,Metal Products,"March,31",100
59570,JP3682800002,First Section,Metal Products,"December,31",100
59580,JP3338000007,First Section,Metal Products,"March,31",100
59590,JP3192000002,First Section,Metal Products,"December,31",100
59640,JP3617800002,Second Section,Metal Products,"March,31",100
59650,JP3820850000,Second Section,Metal Products,"December,31",100
59660,JP3250400003,Second Section,Metal Products,"March,31",100
59670,JP3860800006,Second Section,Metal Products,"May,31",100
59690,JP3985000003,Second Section,Metal Products,"March,31",100
59700,JP3236750000,First Section,Metal Products,"March,31",100
59730,JP3552190005,Second Section,Metal Products,"March,31",100
59740,JP3521400006,Second Section,Metal Products,"March,31",100
59750,JP3598200008,First Section,Metal Products,"March,31",100
59760,JP3288200003,First Section,Metal Products,"March,31",100
59810,JP3579400007,First Section,Metal Products,"March,31",100
59820,JP3875610002,Second Section,Metal Products,The end of February,100
59840,JP3216800007,Second Section,Metal Products,"March,31",100
59850,JP3330600002,First Section,Metal Products,"March,31",100
59860,JP3925800009,First Section,Metal Products,"March,31",100
59880,JP3780400002,First Section,Metal Products,"March,31",100
59890,JP3795200009,First Section,Metal Products,"March,31",100
59910,JP3742600004,First Section,Metal Products,"March,31",100
59920,JP3517800003,First Section,Metal Products,"March,31",100
59940,JP3577400009,Second Section,Metal Products,"March,31",100
59980,JP3213400009,First Section,Metal Products,"March,31",100
79850,JP3758400000,Second Section,Metal Products,"March,31",100
79890,JP3466200007,First Section,Metal Products,"December,31",100
81550,JP3907200004,First Section,Metal Products,"May,31",100
