Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
14910,JP3519000008,Second Section,Nonferrous Metals,"March,31",100
57020,JP3480600000,First Section,Nonferrous Metals,"March,31",100
57030,JP3700200003,First Section,Nonferrous Metals,"March,31",100
57060,JP3888400003,First Section,Nonferrous Metals,"March,31",100
57070,JP3599000001,First Section,Nonferrous Metals,"March,31",100
57110,JP3903000002,First Section,Nonferrous Metals,"March,31",100
57130,JP3402600005,First Section,Nonferrous Metals,"March,31",100
57140,JP3638600001,First Section,Nonferrous Metals,"March,31",100
57150,JP3826800009,First Section,Nonferrous Metals,"March,31",100
57210,JP3359200007,First Section,Nonferrous Metals,"March,31",100
57260,JP3407200009,First Section,Nonferrous Metals,"March,31",100
57270,JP3601800000,First Section,Nonferrous Metals,"March,31",100
57290,JP3721000002,Second Section,Nonferrous Metals,"March,31",100
57410,JP3826900007,First Section,Nonferrous Metals,"March,31",100
57530,JP3716800002,Second Section,Nonferrous Metals,"March,31",100
57570,JP3325100000,First Section,Nonferrous Metals,"March,31",100
57810,JP3600600005,Second Section,Nonferrous Metals,"March,31",100
58010,JP3827200001,First Section,Nonferrous Metals,"March,31",100
58020,JP3407400005,First Section,Nonferrous Metals,"March,31",100
58030,JP3811000003,First Section,Nonferrous Metals,"March,31",100
58050,JP3368400002,First Section,Nonferrous Metals,"March,31",100
58070,JP3586200002,First Section,Nonferrous Metals,"March,31",100
58090,JP3467400002,First Section,Nonferrous Metals,"March,31",100
58160,JP3172800009,Second Section,Nonferrous Metals,"December,31",100
58170,JP3736400007,Second Section,Nonferrous Metals,The end of February,100
58190,JP3215300009,First Section,Nonferrous Metals,"December,31",100
58210,JP3795080005,First Section,Nonferrous Metals,"March,31",100
58510,JP3975800008,First Section,Nonferrous Metals,"December,31",100
58520,JP3100600000,First Section,Nonferrous Metals,"March,31",100
58570,JP3116700000,First Section,Nonferrous Metals,"March,31",100
