Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
71640,JP3429250008,First Section,Other Financing Business,"March,31",100
71870,JP3386590008,First Section,Other Financing Business,"March,31",100
71910,JP3153160001,First Section,Other Financing Business,"March,31",100
71920,JP3752500003,First Section,Other Financing Business,"March,31",100
71960,JP3204500007,First Section,Other Financing Business,"January,31",100
71980,JP3126290000,First Section,Other Financing Business,"March,31",100
71990,JP3833710001,First Section,Other Financing Business,"March,31",100
82530,JP3271400008,First Section,Other Financing Business,"March,31",100
84240,JP3826270005,First Section,Other Financing Business,"March,31",100
84250,JP3286500008,First Section,Other Financing Business,"March,31",100
84390,JP3424950008,First Section,Other Financing Business,"March,31",100
85080,JP3142350002,Second Section,Other Financing Business,"December,31",100
85110,JP3714400003,First Section,Other Financing Business,"March,31",100
85150,JP3105040004,First Section,Other Financing Business,"March,31",100
85660,JP3974100004,First Section,Other Financing Business,"March,31",100
85700,JP3131400008,First Section,Other Financing Business,The end of February,100
85720,JP3108600002,First Section,Other Financing Business,"March,31",100
85840,JP3388600003,First Section,Other Financing Business,"March,31",100
85850,JP3199000005,First Section,Other Financing Business,"March,31",100
85860,JP3786600001,First Section,Other Financing Business,"March,31",100
85910,JP3200450009,First Section,Other Financing Business,"March,31",100
85930,JP3499800005,First Section,Other Financing Business,"March,31",100
85960,JP3247000007,First Section,Other Financing Business,"March,31",100
86970,JP3183200009,First Section,Other Financing Business,"March,31",100
87710,JP3130300001,First Section,Other Financing Business,"March,31",100
87720,JP3109900005,First Section,Other Financing Business,"March,31",100
87890,JP3802830004,Second Section,Other Financing Business,"September,30",100
87930,JP3164740007,First Section,Other Financing Business,"March,31",100
