Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
59620,JP3108800008,Second Section,Other Products,"March,31",100
78110,JP3646100002,First Section,Other Products,The end of February,100
78120,JP3271150009,Second Section,Other Products,"June,30",100
78150,JP3588800007,Second Section,Other Products,"March,31",100
78160,JP3399770001,First Section,Other Products,"December,31",100
78170,JP3781620004,First Section,Other Products,"March,31",100
78180,JP3635670007,First Section,Other Products,"August,31",100
78190,JP3360150001,First Section,Other Products,"September,30",100
78200,JP3756230003,First Section,Other Products,"March,31",100
78210,JP3861250003,First Section,Other Products,"September,20",100
78220,JP3160840009,First Section,Other Products,"March,31",100
78230,JP3100210008,First Section,Other Products,"March,31",100
78310,JP3154170009,Second Section,Other Products,"October,31",100
78320,JP3778630008,First Section,Other Products,"March,31",100
78330,JP3105070001,First Section,Other Products,"December,31",100
78380,JP3253700003,First Section,Other Products,"March,31",100
78390,JP3360900009,First Section,Other Products,"September,30",100
78400,JP3826500005,First Section,Other Products,"March,31",100
78460,JP3780610006,First Section,Other Products,"December,31",100
78510,JP3225850001,Second Section,Other Products,"March,31",100
78560,JP3765500008,First Section,Other Products,"October,31",100
78590,JP3126520000,Second Section,Other Products,"March,31",100
78620,JP3629200001,First Section,Other Products,"March,31",100
78640,JP3813800004,First Section,Other Products,"March,31",100
78670,JP3630550006,First Section,Other Products,"March,31",100
78680,JP3287700003,First Section,Other Products,"March,31",100
78720,JP3163000007,First Section,Other Products,"March,31",100
78750,JP3462700000,Second Section,Other Products,"March,31",100
78790,JP3761700008,Second Section,Other Products,"November,30",100
78850,JP3457750002,First Section,Other Products,"March,31",100
78870,JP3653200000,Second Section,Other Products,"March,31",100
78930,JP3119000002,First Section,Other Products,"March,31",100
78960,JP3423200009,Second Section,Other Products,"March,31",100
78970,JP3843000005,First Section,Other Products,"March,31",100
78980,JP3390600009,First Section,Other Products,"March,31",100
79050,JP3482600008,First Section,Other Products,"March,31",100
79060,JP3960000002,Second Section,Other Products,"March,31",100
79110,JP3629000005,First Section,Other Products,"March,31",100
79120,JP3493800001,First Section,Other Products,"March,31",100
79140,JP3252800002,First Section,Other Products,"March,31",100
79150,JP3713200008,First Section,Other Products,"December,31",100
79160,JP3904800004,First Section,Other Products,"March,31",100
79190,JP3760600001,Second Section,Other Products,"March,31",100
79210,JP3459000000,First Section,Other Products,"May,31",100
79360,JP3118000003,First Section,Other Products,"December,31",100
79370,JP3533500009,First Section,Other Products,"March,31",100
79440,JP3983400007,First Section,Other Products,"December,31",100
79450,JP3305500005,Second Section,Other Products,"March,31",100
79460,JP3292000001,Second Section,Other Products,"March,31",100
79490,JP3303200004,First Section,Other Products,"March,31",100
79510,JP3942600002,First Section,Other Products,"March,31",100
79520,JP3221400009,First Section,Other Products,"March,31",100
79530,JP3236600007,Second Section,Other Products,"March,31",100
79550,JP3270200003,First Section,Other Products,"March,31",100
79560,JP3801600002,First Section,Other Products,"December,31",100
79570,JP3813400003,Second Section,Other Products,"December,31",100
79590,JP3200600009,First Section,Other Products,"December,31",100
79610,JP3217600000,First Section,Other Products,"March,31",100
79620,JP3262000007,First Section,Other Products,"June,20",100
79660,JP3977200009,First Section,Other Products,"March,31",100
79720,JP3142700008,First Section,Other Products,"December,31",100
79740,JP3756600007,First Section,Other Products,"March,31",100
79750,JP3974600003,Second Section,Other Products,The end of February,100
79760,JP3895600009,First Section,Other Products,"December,31",100
79810,JP3460000007,First Section,Other Products,"March,31",100
79830,JP3910800006,Second Section,Other Products,"October,31",100
79840,JP3297000006,First Section,Other Products,"December,31",100
79870,JP3644400008,First Section,Other Products,"March,31",100
79900,JP3503800009,First Section,Other Products,"March,31",100
79920,JP3413400007,Second Section,Other Products,"December,31",100
79940,JP3192400004,First Section,Other Products,"March,31",100
79970,JP3272000005,Second Section,Other Products,"November,30",100
80220,JP3905200006,First Section,Other Products,"March,31",100
