Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
41510,JP3256000005,First Section,Pharmaceutical,"December,31",100
45020,JP3463000004,First Section,Pharmaceutical,"March,31",100
45030,JP3942400007,First Section,Pharmaceutical,"March,31",100
45060,JP3495000006,First Section,Pharmaceutical,"March,31",100
45070,JP3347200002,First Section,Pharmaceutical,"March,31",100
45120,JP3991200001,First Section,Pharmaceutical,"March,31",100
45140,JP3541200006,First Section,Pharmaceutical,"March,31",100
45160,JP3717600005,First Section,Pharmaceutical,"March,31",100
45170,JP3799800002,First Section,Pharmaceutical,"March,31",100
45190,JP3519400000,First Section,Pharmaceutical,"December,31",100
45210,JP3207000005,First Section,Pharmaceutical,"March,31",100
45230,JP3160400002,First Section,Pharmaceutical,"March,31",100
45240,JP3924400009,Second Section,Pharmaceutical,"March,31",100
45270,JP3982400008,First Section,Pharmaceutical,"March,31",100
45280,JP3197600004,First Section,Pharmaceutical,"March,31",100
45300,JP3784600003,First Section,Pharmaceutical,The end of February,100
45340,JP3922800002,First Section,Pharmaceutical,"March,31",100
45360,JP3336000009,First Section,Pharmaceutical,"March,31",100
45380,JP3823600006,First Section,Pharmaceutical,"March,31",100
45390,JP3701600003,First Section,Pharmaceutical,"March,31",100
45400,JP3535800001,First Section,Pharmaceutical,"March,31",100
45410,JP3687200000,First Section,Pharmaceutical,"March,31",100
45470,JP3240600001,First Section,Pharmaceutical,"March,31",100
45480,JP3414000004,First Section,Pharmaceutical,"March,31",100
45490,JP3160700005,First Section,Pharmaceutical,"March,31",100
45500,JP3678100003,First Section,Pharmaceutical,"March,31",100
45510,JP3635800000,First Section,Pharmaceutical,"December,31",100
45520,JP3701000006,First Section,Pharmaceutical,"March,31",100
45530,JP3623150004,First Section,Pharmaceutical,"March,31",100
45540,JP3816200004,First Section,Pharmaceutical,"September,30",100
45550,JP3323050009,First Section,Pharmaceutical,"March,31",100
45590,JP3428850006,First Section,Pharmaceutical,"March,31",100
45680,JP3475350009,First Section,Pharmaceutical,"March,31",100
45690,JP3247090008,First Section,Pharmaceutical,"March,31",100
45740,JP3442200006,First Section,Pharmaceutical,"December,31",100
45770,JP3486150000,First Section,Pharmaceutical,"May,31",100
45780,JP3188220002,First Section,Pharmaceutical,"December,31",100
45810,JP3442850008,First Section,Pharmaceutical,"March,31",100
45870,JP3836750004,First Section,Pharmaceutical,"December,31",100
45950,JP3885900005,Second Section,Pharmaceutical,"December,31",100
