Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
45430,JP3546800008,First Section,Precision Instruments,"March,31",100
51870,JP3269800003,First Section,Precision Instruments,"December,31",100
63760,JP3668000007,First Section,Precision Instruments,"December,31",100
76000,JP3689100000,First Section,Precision Instruments,"March,31",100
77010,JP3357200009,First Section,Precision Instruments,"March,31",100
77020,JP3386050003,First Section,Precision Instruments,"March,31",100
77050,JP3385850007,Second Section,Precision Instruments,"March,31",100
77090,JP3266600000,First Section,Precision Instruments,"March,31",100
77150,JP3648350001,First Section,Precision Instruments,"March,31",100
77170,JP3829900004,First Section,Precision Instruments,"March,31",100
77190,JP3575800002,Second Section,Precision Instruments,The end of February,100
77210,JP3624000000,First Section,Precision Instruments,"March,31",100
77230,JP3104400001,First Section,Precision Instruments,"March,31",100
77250,JP3152720003,First Section,Precision Instruments,"May,31",100
77270,JP3173200001,First Section,Precision Instruments,"March,31",100
77290,JP3580200008,First Section,Precision Instruments,"March,31",100
77300,JP3869920003,First Section,Precision Instruments,"August,31",100
77310,JP3657400002,First Section,Precision Instruments,"March,31",100
77320,JP3630400004,First Section,Precision Instruments,"March,31",100
77330,JP3201200007,First Section,Precision Instruments,"March,31",100
77340,JP3971000009,First Section,Precision Instruments,"March,31",100
77400,JP3471800007,First Section,Precision Instruments,"December,31",100
77410,JP3837800006,First Section,Precision Instruments,"March,31",100
77430,JP3347000006,First Section,Precision Instruments,"March,31",100
77440,JP3759500006,First Section,Precision Instruments,"December,31",100
77450,JP3160130005,First Section,Precision Instruments,"March,31",100
77470,JP3110650003,First Section,Precision Instruments,"June,30",100
77620,JP3352400000,First Section,Precision Instruments,"March,31",100
77680,JP3386200004,Second Section,Precision Instruments,"March,31",100
77690,JP3974200002,First Section,Precision Instruments,"March,31",100
77750,JP3482500000,First Section,Precision Instruments,"March,31",100
77800,JP3921270009,First Section,Precision Instruments,"March,31",100
77820,JP3376500009,First Section,Precision Instruments,"December,31",100
79790,JP3363600002,First Section,Precision Instruments,"March,31",100
80500,JP3414700009,First Section,Precision Instruments,"March,31",100
80860,JP3673600007,First Section,Precision Instruments,"March,31",100
