Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
37080,JP3624900001,First Section,Pulp & Paper,"March,31",100
38610,JP3174410005,First Section,Pulp & Paper,"March,31",100
38630,JP3721600009,First Section,Pulp & Paper,"March,31",100
38640,JP3901200000,First Section,Pulp & Paper,"March,31",100
38650,JP3841800000,First Section,Pulp & Paper,"March,31",100
38770,JP3513400006,First Section,Pulp & Paper,"March,31",100
38780,JP3631000001,First Section,Pulp & Paper,"March,31",100
38800,JP3440400004,First Section,Pulp & Paper,"March,31",100
38960,JP3127000002,First Section,Pulp & Paper,"March,31",100
39410,JP3981400009,First Section,Pulp & Paper,"March,31",100
39440,JP3828800007,Second Section,Pulp & Paper,"December,31",100
39450,JP3395400009,Second Section,Pulp & Paper,"March,31",100
39460,JP3554000004,First Section,Pulp & Paper,"March,31",100
39470,JP3494200003,Second Section,Pulp & Paper,"December,31",100
39500,JP3345900009,First Section,Pulp & Paper,"December,31",100
39510,JP3110600008,Second Section,Pulp & Paper,"March,31",100
39550,JP3149150009,Second Section,Pulp & Paper,"January,31",100
