Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
23370,JP3120010008,First Section,Real Estate,The end of February,100
23530,JP3728000005,First Section,Real Estate,"July,31",100
29750,JP3399340003,First Section,Real Estate,"November,30",100
29800,JP3161320001,First Section,Real Estate,"March,31",100
29820,JP3160560003,First Section,Real Estate,"December,31",100
30030,JP3360800001,First Section,Real Estate,"December,31",100
32280,JP3324700008,First Section,Real Estate,"August,31",100
32310,JP3762900003,First Section,Real Estate,"March,31",100
32320,JP3332510001,First Section,Real Estate,"March,31",100
32380,JP3425650003,Second Section,Real Estate,"March,31",100
32410,JP3154250009,Second Section,Real Estate,"December,31",100
32440,JP3322970009,First Section,Real Estate,"November,30",100
32450,JP3548720006,First Section,Real Estate,"September,30",100
32460,JP3283670002,First Section,Real Estate,"January,31",100
32480,JP3100280001,Second Section,Real Estate,"October,31",100
32520,JP3714200007,First Section,Real Estate,"December,31",100
32540,JP3833300001,First Section,Real Estate,"March,31",100
32710,JP3345720001,First Section,Real Estate,"June,30",100
32750,JP3765350008,First Section,Real Estate,"March,31",100
32760,JP3695050009,First Section,Real Estate,"December,31",100
32770,JP3335000000,First Section,Real Estate,"December,31",100
32800,JP3163350006,First Section,Real Estate,The end of February,100
32840,JP3802060008,First Section,Real Estate,"March,31",100
32880,JP3173540000,First Section,Real Estate,"September,30",100
32890,JP3569200003,First Section,Real Estate,"March,31",100
32910,JP3131090007,First Section,Real Estate,"March,31",100
32940,JP3130350006,First Section,Real Estate,"March,31",100
32990,JP3912500000,First Section,Real Estate,"December,31",100
34520,JP3799770007,First Section,Real Estate,"December,31",100
34540,JP3802290001,First Section,Real Estate,"November,30",100
34570,JP3765420009,First Section,Real Estate,"June,30",100
34580,JP3346080009,First Section,Real Estate,"July,31",100
34640,JP3833810009,First Section,Real Estate,"March,31",100
34650,JP3277620005,First Section,Real Estate,"March,31",100
34670,JP3108170006,First Section,Real Estate,"March,31",100
34690,JP3549250003,Second Section,Real Estate,"June,30",100
34750,JP3273750004,First Section,Real Estate,"October,31",100
34800,JP3386630002,First Section,Real Estate,"October,31",100
34840,JP3547690002,First Section,Real Estate,"March,31",100
34860,JP3274380009,First Section,Real Estate,"December,31",100
34890,JP3803030000,First Section,Real Estate,"March,31",100
35280,JP3221000007,Second Section,Real Estate,"March,31",100
37720,JP3639550007,Second Section,Real Estate,"March,31",100
46660,JP3780100008,First Section,Real Estate,"October,31",100
48090,JP3781700004,First Section,Real Estate,"September,30",100
88010,JP3893200000,First Section,Real Estate,"March,31",100
88020,JP3899600005,First Section,Real Estate,"March,31",100
88030,JP3834800009,First Section,Real Estate,"March,31",100
88040,JP3582600007,First Section,Real Estate,"December,31",100
88060,JP3497200000,First Section,Real Estate,"March,31",100
88180,JP3279000008,First Section,Real Estate,"March,31",100
88300,JP3409000001,First Section,Real Estate,"March,31",100
88410,JP3538400007,First Section,Real Estate,"March,31",100
88420,JP3589800006,First Section,Real Estate,"January,31",100
88480,JP3167500002,First Section,Real Estate,"March,31",100
88500,JP3399200009,First Section,Real Estate,"March,31",100
88540,JP3661900005,Second Section,Real Estate,"December,31",100
88600,JP3815000009,First Section,Real Estate,"March,31",100
88640,JP3266050008,First Section,Real Estate,"March,31",100
88690,JP3920850009,First Section,Real Estate,"March,31",100
88710,JP3306800008,First Section,Real Estate,"March,31",100
88770,JP3688350002,First Section,Real Estate,"March,31",100
88810,JP3677900007,First Section,Real Estate,"March,31",100
88910,JP3167440001,Second Section,Real Estate,"March,31",100
88920,JP3688330004,First Section,Real Estate,"December,31",100
88940,JP3772300004,Second Section,Real Estate,"October,31",100
88970,JP3460800000,First Section,Real Estate,"March,31",100
89040,JP3337500007,First Section,Real Estate,"August,31",100
89050,JP3131430005,First Section,Real Estate,The end of February,100
89080,JP3860280001,First Section,Real Estate,"May,31",100
89120,JP3167610009,Second Section,Real Estate,"June,30",100
89140,JP3167620008,Second Section,Real Estate,"December,31",100
89170,JP3802230007,First Section,Real Estate,"October,31",100
89180,JP3968800007,First Section,Real Estate,The end of February,100
89190,JP3932950003,First Section,Real Estate,"March,31",100
89230,JP3595070008,First Section,Real Estate,"November,30",100
89250,JP3126160005,Second Section,Real Estate,"July,31",100
89280,JP3122430006,First Section,Real Estate,"June,30",100
89290,JP3825750007,Second Section,Real Estate,"December,31",100
89310,JP3993920002,Second Section,Real Estate,The end of February,100
89340,JP3336950005,First Section,Real Estate,"March,31",100
89350,JP3166930002,First Section,Real Estate,"March,31",100
89400,JP3153150002,First Section,Real Estate,"May,31",100
89440,JP3968850002,First Section,Real Estate,"September,30",100
89450,JP3713400004,First Section,Real Estate,"June,30",100
89950,JP3863070003,Second Section,Real Estate,"March,31",100
89990,JP3274030000,First Section,Real Estate,"March,31",100
97060,JP3699400002,First Section,Real Estate,"March,31",100
