Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
26510,JP3982100004,First Section,Retail Trade,The end of February,100
26520,JP3879700007,Second Section,Retail Trade,"September,30",100
26540,JP3384720003,Second Section,Retail Trade,"March,31",100
26590,JP3324500002,First Section,Retail Trade,The end of February,100
26640,JP3226450009,First Section,Retail Trade,"March,15",100
26700,JP3152740001,First Section,Retail Trade,The end of February,100
26740,JP3765120005,First Section,Retail Trade,"March,31",100
26750,JP3491900001,Second Section,Retail Trade,"December,31",100
26780,JP3119920001,First Section,Retail Trade,"May,20",100
26810,JP3282400005,First Section,Retail Trade,"March,31",100
26830,JP3155500006,Second Section,Retail Trade,The end of February,100
26850,JP3856000009,First Section,Retail Trade,The end of February,100
26860,JP3536900008,First Section,Retail Trade,The end of February,100
26870,JP3346250008,First Section,Retail Trade,The end of February,100
26950,JP3268200007,First Section,Retail Trade,"October,31",100
26980,JP3244550004,First Section,Retail Trade,"November,30",100
27220,JP3101100000,First Section,Retail Trade,"May,31",100
27260,JP3781650001,First Section,Retail Trade,The end of February,100
27300,JP3164470001,First Section,Retail Trade,"March,31",100
27340,JP3310350008,First Section,Retail Trade,"November,30",100
27350,JP3993950009,First Section,Retail Trade,"August,31",100
27420,JP3773750009,First Section,Retail Trade,The end of February,100
27520,JP3807770007,First Section,Retail Trade,"December,31",100
27530,JP3124450002,First Section,Retail Trade,"March,31",100
27620,JP3332520000,Second Section,Retail Trade,"June,30",100
27640,JP3796000002,First Section,Retail Trade,"March,31",100
27780,JP3782800001,Second Section,Retail Trade,"February,20",100
27800,JP3305590006,Second Section,Retail Trade,"March,31",100
27910,JP3483050005,First Section,Retail Trade,"May,31",100
27920,JP3770080004,First Section,Retail Trade,"May,31",100
27960,JP3802320006,First Section,Retail Trade,"May,31",100
27980,JP3990760005,Second Section,Retail Trade,The end of February,100
30110,JP3864600006,Second Section,Retail Trade,"March,31",100
30210,JP3781360007,Second Section,Retail Trade,"May,31",100
30280,JP3126470008,First Section,Retail Trade,"June,30",100
30300,JP3770350001,First Section,Retail Trade,The end of February,100
30340,JP3266160005,First Section,Retail Trade,"March,31",100
30460,JP3386110005,First Section,Retail Trade,"August,31",100
30480,JP3800390001,First Section,Retail Trade,"August,31",100
30500,JP3548660004,First Section,Retail Trade,The end of February,100
30530,JP3836400006,First Section,Retail Trade,"December,31",100
