Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
51010,JP3955800002,First Section,Rubber Products,"December,31",100
51030,JP3366000002,Second Section,Rubber Products,"March,31",100
51040,JP3681600007,Second Section,Rubber Products,"March,31",100
51050,JP3610600003,First Section,Rubber Products,"December,31",100
51080,JP3830800003,First Section,Rubber Products,"December,31",100
51100,JP3404200002,First Section,Rubber Products,"December,31",100
51210,JP3811600000,First Section,Rubber Products,"March,31",100
51220,JP3192800005,First Section,Rubber Products,"March,31",100
51610,JP3657550004,Second Section,Rubber Products,"March,31",100
51840,JP3665000000,Second Section,Rubber Products,"December,31",100
51850,JP3807000009,First Section,Rubber Products,"March,31",100
51860,JP3679850002,First Section,Rubber Products,"March,31",100
51890,JP3317600009,Second Section,Rubber Products,"March,31",100
51910,JP3564200008,First Section,Rubber Products,"March,31",100
51920,JP3904000001,First Section,Rubber Products,"March,31",100
51940,JP3316000003,Second Section,Rubber Products,"March,31",100
51950,JP3779000003,First Section,Rubber Products,"March,31",100
