Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
31130,JP3795400005,Second Section,Securities & Commodity Futures,"March,31",100
71480,JP3166990006,First Section,Securities & Commodity Futures,"September,30",100
71720,JP3389470000,First Section,Securities & Commodity Futures,"December,31",100
71900,JP3860150006,First Section,Securities & Commodity Futures,"December,31",100
84730,JP3436120004,First Section,Securities & Commodity Futures,"March,31",100
85180,JP3686150008,First Section,Securities & Commodity Futures,"March,31",100
85950,JP3389900006,First Section,Securities & Commodity Futures,"March,31",100
86010,JP3502200003,First Section,Securities & Commodity Futures,"March,31",100
86040,JP3762600009,First Section,Securities & Commodity Futures,"March,31",100
86090,JP3190800007,First Section,Securities & Commodity Futures,"March,31",100
86130,JP3874800000,First Section,Securities & Commodity Futures,"March,31",100
86140,JP3611800008,First Section,Securities & Commodity Futures,"March,31",100
86160,JP3577600004,First Section,Securities & Commodity Futures,"March,31",100
86170,JP3288800000,First Section,Securities & Commodity Futures,"March,31",100
86220,JP3905400002,First Section,Securities & Commodity Futures,"March,31",100
86240,JP3142300007,First Section,Securities & Commodity Futures,"March,31",100
86280,JP3863800003,First Section,Securities & Commodity Futures,"March,31",100
86980,JP3869970008,First Section,Securities & Commodity Futures,"March,31",100
87060,JP3256970009,First Section,Securities & Commodity Futures,"March,31",100
87070,JP3149950002,First Section,Securities & Commodity Futures,"March,31",100
87080,JP3101850000,First Section,Securities & Commodity Futures,"March,31",100
87320,JP3869930002,First Section,Securities & Commodity Futures,"March,31",100
87370,JP3292300005,Second Section,Securities & Commodity Futures,"March,31",100
87390,JP3399900004,First Section,Securities & Commodity Futures,"March,31",100
87420,JP3301300004,First Section,Securities & Commodity Futures,"March,31",100
93180,JP3743800009,Second Section,Securities & Commodity Futures,"March,31",100
