Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
17170,JP3920400003,First Section,Services,"March,31",100
19540,JP3703200000,First Section,Services,"June,30",100
21200,JP3758140002,First Section,Services,"September,30",100
21210,JP3882750007,First Section,Services,"March,31",100
21240,JP3386130003,First Section,Services,"December,31",100
21270,JP3689050007,First Section,Services,"March,31",100
21300,JP3921700005,First Section,Services,"March,31",100
21390,JP3520800008,First Section,Services,"March,31",100
21460,JP3949500007,First Section,Services,"March,31",100
21480,JP3104880004,First Section,Services,"March,31",100
21510,JP3462680004,First Section,Services,"March,31",100
21530,JP3130480001,First Section,Services,"May,31",100
21540,JP3635580008,First Section,Services,"June,30",100
21570,JP3297360004,First Section,Services,"August,31",100
21590,JP3828200000,Second Section,Services,"April,30",100
21630,JP3126230006,First Section,Services,"January,31",100
21680,JP3781490002,First Section,Services,"May,31",100
21690,JP3347040002,First Section,Services,"December,31",100
21700,JP3977020001,First Section,Services,"December,31",100
21740,JP3386390003,First Section,Services,"December,31",100
21750,JP3162350007,First Section,Services,"March,31",100
21800,JP3322500004,First Section,Services,"June,30",100
21810,JP3547670004,First Section,Services,"March,31",100
21830,JP3974530002,First Section,Services,"March,31",100
21930,JP3266170004,First Section,Services,"December,31",100
21960,JP3162620003,First Section,Services,"March,31",100
21980,JP3101120008,First Section,Services,"October,31",100
23010,JP3234400004,First Section,Services,"October,31",100
23050,JP3399240005,First Section,Services,The end of February,100
23090,JP3359000001,First Section,Services,"September,30",100
23110,JP3167250004,First Section,Services,"December,31",100
23250,JP3718600004,First Section,Services,"December,31",100
23310,JP3431900004,First Section,Services,"March,31",100
23710,JP3206000006,First Section,Services,"March,31",100
23720,JP3105170009,First Section,Services,"March,31",100
23740,JP3424980005,First Section,Services,"March,31",100
23750,JP3410750008,Second Section,Services,"October,31",100
23760,JP3311350007,First Section,Services,"March,31",100
23780,JP3978800005,First Section,Services,"March,31",100
23790,JP3548640006,First Section,Services,The end of February,100
23890,JP3197730009,First Section,Services,"December,31",100
23930,JP3699800003,Second Section,Services,"March,31",100
23950,JP3379950003,First Section,Services,"March,31",100
23970,JP3548590003,Second Section,Services,"March,31",100
23980,JP3532800004,First Section,Services,"March,31",100
24040,JP3545620001,Second Section,Services,"August,31",100
24100,JP3244450007,First Section,Services,"September,30",100
24120,JP3835630009,First Section,Services,"March,31",100
24130,JP3435750009,First Section,Services,"March,31",100
24180,JP3835670005,First Section,Services,"December,31",100
24240,JP3830600007,First Section,Services,"July,31",100
24270,JP3105270007,First Section,Services,"December,31",100
24280,JP3155370004,First Section,Services,"June,30",100
24290,JP3990220000,First Section,Services,"December,31",100
24320,JP3548610009,First Section,Services,"March,31",100
24330,JP3766550002,First Section,Services,"March,31",100
24400,JP3274180003,First Section,Services,"March,31",100
24450,JP3161560002,First Section,Services,"March,31",100
24530,JP3389670005,First Section,Services,"September,30",100
24590,JP3105310001,Second Section,Services,"May,31",100
24610,JP3802840003,First Section,Services,"December,31",100
24620,JP3386120004,First Section,Services,"May,31",100
24640,JP3800290003,First Section,Services,"March,31",100
24680,JP3826260006,Second Section,Services,"March,31",100
24710,JP3163900008,First Section,Services,"November,30",100
24750,JP3505940001,First Section,Services,"March,31",100
24770,JP3783300001,First Section,Services,"June,30",100
24850,JP3539150007,First Section,Services,"September,30",100
24870,JP3347020004,First Section,Services,"March,31",100
24890,JP3121970002,First Section,Services,"March,31",100
24910,JP3778390009,First Section,Services,"December,31",100
24920,JP3153480003,First Section,Services,"December,31",100
24990,JP3756080002,Second Section,Services,"December,31",100
27490,JP3386190007,First Section,Services,"March,31",100
30100,JP3393800002,Second Section,Services,"March,31",100
31210,JP3382200008,Second Section,Services,"March,31",100
35210,JP3755800004,First Section,Services,"March,31",100
42820,JP3130770005,First Section,Services,"September,30",100
42860,JP3980300002,First Section,Services,"December,31",100
42900,JP3833620002,First Section,Services,"March,31",100
43010,JP3124500004,First Section,Services,"March,31",100
43100,JP3639420003,First Section,Services,"March,31",100
43180,JP3266000003,First Section,Services,"March,31",100
43190,JP3467200006,First Section,Services,"March,31",100
