Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
30010,JP3211400001,First Section,Textiles & Apparels,"December,31",100
30020,JP3275200008,First Section,Textiles & Apparels,"March,31",100
31010,JP3619800000,First Section,Textiles & Apparels,"March,31",100
31030,JP3951200009,First Section,Textiles & Apparels,"March,31",100
31040,JP3820800005,First Section,Textiles & Apparels,"March,31",100
31060,JP3268800004,First Section,Textiles & Apparels,"March,31",100
31090,JP3348400007,First Section,Textiles & Apparels,"March,31",100
31110,JP3174000004,Second Section,Textiles & Apparels,"March,31",100
31230,JP3312000007,Second Section,Textiles & Apparels,"March,31",100
31250,JP3379400009,Second Section,Textiles & Apparels,"March,25",100
32010,JP3700800000,First Section,Textiles & Apparels,"November,30",100
32020,JP3487400008,First Section,Textiles & Apparels,"March,31",100
32040,JP3552170007,First Section,Textiles & Apparels,"December,31",100
32050,JP3488600002,First Section,Textiles & Apparels,"March,31",100
33020,JP3540800004,First Section,Textiles & Apparels,"December,31",100
34010,JP3544000007,First Section,Textiles & Apparels,"March,31",100
34020,JP3621000003,First Section,Textiles & Apparels,"March,31",100
34080,JP3312600004,First Section,Textiles & Apparels,"March,31",100
34090,JP3239600004,Second Section,Textiles & Apparels,"March,31",100
35010,JP3410200004,First Section,Textiles & Apparels,"May,31",100
35120,JP3749000000,First Section,Textiles & Apparels,"March,31",100
35130,JP3141200000,First Section,Textiles & Apparels,"March,31",100
35240,JP3683600005,First Section,Textiles & Apparels,"April,30",100
35290,JP3120200005,First Section,Textiles & Apparels,"March,31",100
35510,JP3493000008,First Section,Textiles & Apparels,"March,31",100
35690,JP3413800008,First Section,Textiles & Apparels,"March,31",100
35710,JP3434600007,First Section,Textiles & Apparels,"March,31",100
35770,JP3564600009,First Section,Textiles & Apparels,"March,31",100
35780,JP3431800006,Second Section,Textiles & Apparels,"March,31",100
35800,JP3304600004,First Section,Textiles & Apparels,"March,31",100
35830,JP3173600002,Second Section,Textiles & Apparels,"March,31",100
35910,JP3992400006,First Section,Textiles & Apparels,"March,31",100
35930,JP3840800001,First Section,Textiles & Apparels,"March,31",100
35970,JP3386400000,Second Section,Textiles & Apparels,"June,30",100
35980,JP3935000004,Second Section,Textiles & Apparels,"March,31",100
36000,JP3818650008,Second Section,Textiles & Apparels,"March,31",100
36040,JP3227100009,Second Section,Textiles & Apparels,"March,31",100
36070,JP3267800005,First Section,Textiles & Apparels,"August,31",100
36080,JP3538690003,First Section,Textiles & Apparels,The end of February,100
36110,JP3863900001,First Section,Textiles & Apparels,"March,31",100
36120,JP3990210001,First Section,Textiles & Apparels,"March,31",100
80110,JP3339400008,First Section,Textiles & Apparels,The end of February,100
80130,JP3640800003,First Section,Textiles & Apparels,"January,31",100
80160,JP3203500008,First Section,Textiles & Apparels,The end of February,100
80290,JP3981000007,First Section,Textiles & Apparels,"December,31",100
80400,JP3582200006,Second Section,Textiles & Apparels,"December,31",100
81070,JP3242400004,First Section,Textiles & Apparels,"March,31",100
81110,JP3306600002,First Section,Textiles & Apparels,"March,31",100
81140,JP3548800006,First Section,Textiles & Apparels,"March,31",100
81180,JP3261200004,First Section,Textiles & Apparels,"March,31",100
81270,JP3939600007,First Section,Textiles & Apparels,"August,31",100
81430,JP3968200000,Second Section,Textiles & Apparels,The end of February,100
