Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
31160,JP3635400009,First Section,Transportation Equipment,"March,31",100
35260,JP3118400005,First Section,Transportation Equipment,"March,31",100
59490,JP3952550006,First Section,Transportation Equipment,"March,31",100
60160,JP3291000002,Second Section,Transportation Equipment,"March,31",100
60180,JP3776600003,Second Section,Transportation Equipment,"March,31",100
60230,JP3497000004,Second Section,Transportation Equipment,"March,31",100
60420,JP3696800006,Second Section,Transportation Equipment,"March,31",100
62010,JP3634600005,First Section,Transportation Equipment,"March,31",100
64550,JP3925600003,First Section,Transportation Equipment,"March,31",100
64930,JP3680000001,Second Section,Transportation Equipment,"March,31",100
65840,JP3325200008,First Section,Transportation Equipment,"March,31",100
69020,JP3551500006,First Section,Transportation Equipment,"March,31",100
69820,JP3969400005,Second Section,Transportation Equipment,"March,31",100
69950,JP3566600007,First Section,Transportation Equipment,"March,31",100
70030,JP3891600003,First Section,Transportation Equipment,"March,31",100
70120,JP3224200000,First Section,Transportation Equipment,"March,31",100
70140,JP3651400008,First Section,Transportation Equipment,"March,31",100
70180,JP3640400002,Second Section,Transportation Equipment,"March,31",100
70220,JP3322810007,First Section,Transportation Equipment,"March,31",100
71020,JP3713600009,First Section,Transportation Equipment,"March,31",100
71050,JP3753800006,First Section,Transportation Equipment,"March,31",100
71220,JP3258800006,First Section,Transportation Equipment,"March,31",100
72010,JP3672400003,First Section,Transportation Equipment,"March,31",100
72020,JP3137200006,First Section,Transportation Equipment,"March,31",100
72030,JP3633400001,First Section,Transportation Equipment,"March,31",100
72050,JP3792600003,First Section,Transportation Equipment,"March,31",100
72080,JP3217950009,Second Section,Transportation Equipment,"March,31",100
72110,JP3899800001,First Section,Transportation Equipment,"March,31",100
72120,JP3166950000,First Section,Transportation Equipment,"March,31",100
72130,JP3979550005,First Section,Transportation Equipment,"March,31",100
72140,JP3385860006,First Section,Transportation Equipment,"March,31",100
72150,JP3802660005,First Section,Transportation Equipment,"March,31",100
72200,JP3912700006,First Section,Transportation Equipment,"March,31",100
72220,JP3672000001,First Section,Transportation Equipment,"March,31",100
72240,JP3384600007,First Section,Transportation Equipment,"March,31",100
72260,JP3256900006,First Section,Transportation Equipment,"March,31",100
72310,JP3630200008,First Section,Transportation Equipment,"March,31",100
72350,JP3590200006,Second Section,Transportation Equipment,"March,31",100
72360,JP3620200000,First Section,Transportation Equipment,"March,31",100
72380,JP3108400007,First Section,Transportation Equipment,"March,31",100
72390,JP3465400004,First Section,Transportation Equipment,"March,31",100
72400,JP3164800009,First Section,Transportation Equipment,"March,31",100
72410,JP3824000008,First Section,Transportation Equipment,"March,31",100
72420,JP3220200004,First Section,Transportation Equipment,"March,31",100
72450,JP3491800003,First Section,Transportation Equipment,"March,31",100
72460,JP3833600004,First Section,Transportation Equipment,"March,31",100
72470,JP3882800000,First Section,Transportation Equipment,"March,31",100
72500,JP3448400006,First Section,Transportation Equipment,"March,31",100
72540,JP3821400003,Second Section,Transportation Equipment,"March,31",100
72560,JP3208600001,First Section,Transportation Equipment,"March,31",100
72590,JP3102000001,First Section,Transportation Equipment,"March,31",100
72610,JP3868400007,First Section,Transportation Equipment,"March,31",100
72660,JP3149100004,First Section,Transportation Equipment,"March,31",100
72670,JP3854600008,First Section,Transportation Equipment,"March,31",100
72690,JP3397200001,First Section,Transportation Equipment,"March,31",100
72700,JP3814800003,First Section,Transportation Equipment,"March,31",100
72710,JP3932850005,First Section,Transportation Equipment,"March,31",100
72720,JP3942800008,First Section,Transportation Equipment,"December,31",100
72730,JP3131500005,Second Section,Transportation Equipment,"March,31",100
72770,JP3588200000,First Section,Transportation Equipment,"March,31",100
72780,JP3161160001,First Section,Transportation Equipment,"March,31",100
72790,JP3699600007,Second Section,Transportation Equipment,"October,31",100
72820,JP3634200004,First Section,Transportation Equipment,"March,31",100
72830,JP3101600009,First Section,Transportation Equipment,"March,31",100
72840,JP3920800004,First Section,Transportation Equipment,"March,31",100
72870,JP3720600000,Second Section,Transportation Equipment,"March,31",100
72910,JP3749200006,First Section,Transportation Equipment,"March,31",100
72920,JP3914200005,Second Section,Transportation Equipment,"March,31",100
72940,JP3961400003,First Section,Transportation Equipment,"March,31",100
72960,JP3166900005,First Section,Transportation Equipment,"March,31",100
72990,JP3807750009,Second Section,Transportation Equipment,"March,31",100
73090,JP3358000002,First Section,Transportation Equipment,"December,31",100
73130,JP3539230007,First Section,Transportation Equipment,"March,31",100
73150,JP3102310004,Second Section,Transportation Equipment,"March,31",100
74080,JP3390000002,First Section,Transportation Equipment,"March,31",100
