Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
90580,JP3635650009,First Section,Warehousing & Harbor Transportation Services,"March,31",100
90660,JP3674400001,First Section,Warehousing & Harbor Transportation Services,"March,31",100
91930,JP3573800004,Second Section,Warehousing & Harbor Transportation Services,"March,31",100
93010,JP3902000003,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93020,JP3891200002,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93030,JP3407000003,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93040,JP3355600002,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93060,JP3615400003,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93070,JP3397000005,Second Section,Warehousing & Harbor Transportation Services,"March,31",100
93100,JP3739600009,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93110,JP3109600001,Second Section,Warehousing & Harbor Transportation Services,"March,31",100
93120,JP3279800001,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93130,JP3876800008,Second Section,Warehousing & Harbor Transportation Services,"November,30",100
93190,JP3516600008,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93220,JP3226800005,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93240,JP3932820008,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93250,JP3802360002,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93510,JP3619000007,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93530,JP3318000001,Second Section,Warehousing & Harbor Transportation Services,"March,31",100
93550,JP3977100001,Second Section,Warehousing & Harbor Transportation Services,"March,31",100
93580,JP3157600002,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93610,JP3807200005,Second Section,Warehousing & Harbor Transportation Services,"June,30",100
93620,JP3794600001,Second Section,Warehousing & Harbor Transportation Services,"March,31",100
93630,JP3479800009,Second Section,Warehousing & Harbor Transportation Services,"March,31",100
93640,JP3219000001,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93650,JP3637200001,Second Section,Warehousing & Harbor Transportation Services,"March,31",100
93660,JP3343400002,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93680,JP3242500001,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93690,JP3244700005,First Section,Warehousing & Harbor Transportation Services,"November,30",100
93750,JP3262900008,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93800,JP3121190007,First Section,Warehousing & Harbor Transportation Services,"March,31",100
93810,JP3160050005,First Section,Warehousing & Harbor Transportation Services,The end of February,100
93840,JP3641230002,First Section,Warehousing & Harbor Transportation Services,"December,31",100
93860,JP3708600006,First Section,Warehousing & Harbor Transportation Services,"December,31",100
