Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
13520,JP3839400003,First Section,Wholesale Trade,"March,31",100
26680,JP3506100001,Second Section,Wholesale Trade,The end of February,100
26760,JP3457710006,First Section,Wholesale Trade,"March,31",100
26890,JP3226700007,First Section,Wholesale Trade,"June,30",100
26920,JP3143700007,First Section,Wholesale Trade,"March,31",100
27150,JP3457690000,First Section,Wholesale Trade,"March,31",100
27290,JP3390250003,First Section,Wholesale Trade,"March,31",100
27330,JP3125100002,First Section,Wholesale Trade,"March,31",100
27370,JP3553900006,First Section,Wholesale Trade,"March,31",100
27600,JP3571600000,First Section,Wholesale Trade,"March,31",100
27670,JP3802680003,First Section,Wholesale Trade,"March,31",100
27680,JP3663900003,First Section,Wholesale Trade,"March,31",100
27840,JP3126340003,First Section,Wholesale Trade,"March,31",100
27880,JP3121170009,Second Section,Wholesale Trade,"December,31",100
28740,JP3957000007,First Section,Wholesale Trade,"September,30",100
30040,JP3370400008,First Section,Wholesale Trade,"March,31",100
30230,JP3967450002,First Section,Wholesale Trade,"March,31",100
30360,JP3126210008,First Section,Wholesale Trade,"March,31",100
30380,JP3291200008,First Section,Wholesale Trade,"October,31",100
30410,JP3800470001,Second Section,Wholesale Trade,"June,30",100
30450,JP3223200001,Second Section,Wholesale Trade,"August,31",100
30540,JP3765220003,First Section,Wholesale Trade,"December,31",100
30760,JP3105090009,First Section,Wholesale Trade,"June,30",100
30790,JP3548710007,First Section,Wholesale Trade,"March,31",100
31070,JP3505400006,First Section,Wholesale Trade,"March,31",100
31320,JP3862960006,First Section,Wholesale Trade,"March,31",100
31390,JP3967250006,First Section,Wholesale Trade,"November,30",100
31430,JP3170150001,Second Section,Wholesale Trade,"March,31",100
31500,JP3952860009,First Section,Wholesale Trade,"March,31",100
31510,JP3778280002,First Section,Wholesale Trade,"March,31",100
31530,JP3931700003,First Section,Wholesale Trade,"March,31",100
31540,JP3254190006,First Section,Wholesale Trade,"June,30",100
31560,JP3944360001,First Section,Wholesale Trade,"March,31",100
31570,JP3390360000,First Section,Wholesale Trade,"March,31",100
