Code,ISIN,Market,Industry,BalaceSheetDate,TradingUnit
1413,JP3792100004,First Section,Construction,"December,31",100
1414,JP3360250009,First Section,Construction,"June,30",100
1417,JP3910620008,First Section,Construction,"March,31",100
1419,JP3470900006,First Section,Construction,"May,31",100
1420,JP3337550002,First Section,Construction,"March,31",100
1429,JP3686140009,First Section,Construction,"December,31",100
1430,JP3802210009,First Section,Construction,"May,31",100
1433,JP3835550009,First Section,Construction,"January,31",100
1434,JP3386570000,Second Section,Construction,"August,31",100
1435,JP3153950005,First Section,Construction,"December,31",100
1443,JP3264300009,Second Section,Construction,"March,31",100
1446,JP3244530006,First Section,Construction,"September,30",100
1448,JP3400060004,First Section,Construction,"March,31",100
1451,JP3277630004,Second Section,Construction,"March,31",100
1711,JP3363000005,Second Section,Construction,"March,31",100
1712,JP3485700003,First Section,Construction,The end of February,100
1716,JP3473700007,First Section,Construction,"June,30",100
1719,JP3767810009,First Section,Construction,"March,31",100
1720,JP3567410000,First Section,Construction,"March,31",100
1721,JP3305530002,First Section,Construction,"March,31",100
1726,JP3799610005,First Section,Construction,"March,31",100
1737,JP3888350000,Second Section,Construction,"March,31",100
1743,JP3283450009,Second Section,Construction,"September,30",100
1757,JP3236100008,Second Section,Construction,"March,31",100
1762,JP3457900003,First Section,Construction,"March,31",100
1764,JP3266150006,Second Section,Construction,"June,30",100
1766,JP3590900001,First Section,Construction,"April,30",100
1768,JP3435700004,First Section,Construction,"March,31",100
1775,JP3820550006,Second Section,Construction,"March,31",100
1776,JP3892200001,Second Section,Construction,"March,31",100
1780,JP3934300009,First Section,Construction,"March,31",100
1801,JP3443600006,First Section,Construction,"March,31",100
1802,JP3190000004,First Section,Construction,"March,31",100
1803,JP3358800005,First Section,Construction,"March,31",100
1805,JP3629800008,First Section,Construction,"March,31",100
1808,JP3768600003,First Section,Construction,"March,31",100
1810,JP3863600007,First Section,Construction,"March,31",100
1811,JP3427800002,First Section,Construction,"March,31",100
1812,JP3210200006,First Section,Construction,"March,31",100
1813,JP3825600004,First Section,Construction,"March,31",100
1814,JP3485400000,First Section,Construction,"March,31",100
1815,JP3545600003,First Section,Construction,"March,31",100
1820,JP3659200004,First Section,Construction,"March,31",100
1821,JP3889200006,First Section,Construction,"March,31",100
1822,JP3498600000,First Section,Construction,"March,31",100
1824,JP3861200008,First Section,Construction,"March,31",100
1826,JP3319600007,First Section,Construction,"March,31",100
1827,JP3643600004,First Section,Construction,"March,31",100
1828,JP3468900000,Second Section,Construction,"March,31",100
1833,JP3194800003,First Section,Construction,"March,31",100
1835,JP3595400007,First Section,Construction,"March,31",100
1840,JP3533300004,Second Section,Construction,"October,31",100
1844,JP3190600001,Second Section,Construction,"July,31",100
1847,JP3141400006,First Section,Construction,"March,31",100
1848,JP3820650004,First Section,Construction,"March,31",100
1850,JP3652600002,Second Section,Construction,"March,31",100
1852,JP3110000001,First Section,Construction,"March,31",100
1853,JP3923600005,Second Section,Construction,"March,31",100
1860,JP3627000007,First Section,Construction,"March,31",100
1861,JP3266800006,First Section,Construction,"March,31",100
1866,JP3240000004,First Section,Construction,"March,31",100
1867,JP3154400000,First Section,Construction,"March,31",100
1870,JP3933200002,First Section,Construction,"March,31",100
1871,JP3801400007,First Section,Construction,"March,31",100
1873,JP3783500006,First Section,Construction,"October,31",100
1878,JP3486800000,First Section,Construction,"March,31",100
1879,JP3380300008,First Section,Construction,"March,31",100
1881,JP3750200002,First Section,Construction,"March,31",100
1882,JP3558000000,First Section,Construction,"March,31",100
1883,JP3861600009,First Section,Construction,"March,31",100
1884,JP3740200005,First Section,Construction,"March,31",100
1885,JP3556000002,First Section,Construction,"March,31",100
1887,JP3707200006,First Section,Construction,"May,31",100
1888,JP3990800009,First Section,Construction,"March,31",100
1890,JP3609800002,First Section,Construction,"March,31",100
1893,JP3309000002,First Section,Construction,"March,31",100
1897,JP3216600001,Second Section,Construction,"December,31",100
1898,JP3414600001,First Section,Construction,"March,31",100
1899,JP3805600008,First Section,Construction,"December,31",100
1911,JP3409800004,First Section,Construction,"December,31",100
1914,JP3697400004,First Section,Construction,"March,31",100
1921,JP3631400003,First Section,Construction,"March,31",100
1925,JP3505000004,First Section,Construction,"March,31",100
1926,JP3965800000,First Section,Construction,"March,31",100
1928,JP3420600003,First Section,Construction,"January,31",100
1929,JP3684800000,First Section,Construction,"March,31",100
1930,JP3845000003,First Section,Construction,"March,31",100
1934,JP3946200007,First Section,Construction,"March,31",100
1938,JP3510600004,First Section,Construction,"March,31",100
1939,JP3962600007,First Section,Construction,"March,31",100
1941,JP3524000001,First Section,Construction,"March,31",100
1942,JP3230600003,First Section,Construction,"March,31",100
1944,JP3263000006,First Section,Construction,"March,31",100
1945,JP3585400009,First Section,Construction,"March,31",100
1946,JP3552230009,First Section,Construction,"March,31",100
1948,JP3288600004,Second Section,Construction,"March,31",100
1949,JP3407800006,First Section,Construction,"March,31",100
1950,JP3736200001,First Section,Construction,"March,31",100
1951,JP3254200003,First Section,Construction,"March,31",100
1952,JP3380250005,First Section,Construction,"March,31",100
1959,JP3247050002,First Section,Construction,"March,31",100
1960,JP3335400002,Second Section,Construction,"March,31",100
1961,JP3325600009,First Section,Construction,"March,31",100
1963,JP3667600005,First Section,Construction,"March,31",100
1964,JP3519800001,First Section,Construction,"March,31",100
1965,JP3545040002,Second Section,Construction,"March,31",100
1966,JP3457600009,Second Section,Construction,"March,31",100
1967,JP3940800000,First Section,Construction,"March,20",100
1968,JP3447200001,First Section,Construction,"March,31",100
1969,JP3455200000,First Section,Construction,"March,31",100
1972,JP3330800008,First Section,Construction,"March,31",100
1975,JP3112800002,First Section,Construction,"March,31",100
1976,JP3918200001,First Section,Construction,"March,31",100
1979,JP3441200007,First Section,Construction,"March,31",100
1980,JP3486000007,First Section,Construction,"March,31",100
1982,JP3793400007,First Section,Construction,"March,31",100
3267,JP3802930002,First Section,Construction,"November,30",100
5912,JP3697600009,First Section,Construction,"March,31",100
6330,JP3607800004,First Section,Construction,"March,31",100
6366,JP3528600004,Second Section,Construction,"March,31",100
6379,JP3331600001,First Section,Construction,"March,31",100
3113,JP3795400005,Second Section,Securities & Commodity Futures,"March,31",100
7148,JP3166990006,First Section,Securities & Commodity Futures,"September,30",100
7172,JP3389470000,First Section,Securities & Commodity Futures,"December,31",100
7190,JP3860150006,First Section,Securities & Commodity Futures,"December,31",100
8473,JP3436120004,First Section,Securities & Commodity Futures,"March,31",100
8518,JP3686150008,First Section,Securities & Commodity Futures,"March,31",100
8595,JP3389900006,First Section,Securities & Commodity Futures,"March,31",100
8601,JP3502200003,First Section,Securities & Commodity Futures,"March,31",100
8604,JP3762600009,First Section,Securities & Commodity Futures,"March,31",100
8609,JP3190800007,First Section,Securities & Commodity Futures,"March,31",100
8613,JP3874800000,First Section,Securities & Commodity Futures,"March,31",100
8614,JP3611800008,First Section,Securities & Commodity Futures,"March,31",100
8616,JP3577600004,First Section,Securities & Commodity Futures,"March,31",100
8617,JP3288800000,First Section,Securities & Commodity Futures,"March,31",100
8622,JP3905400002,First Section,Securities & Commodity Futures,"March,31",100
8624,JP3142300007,First Section,Securities & Commodity Futures,"March,31",100
8628,JP3863800003,First Section,Securities & Commodity Futures,"March,31",100
8698,JP3869970008,First Section,Securities & Commodity Futures,"March,31",100
8706,JP3256970009,First Section,Securities & Commodity Futures,"March,31",100
8707,JP3149950002,First Section,Securities & Commodity Futures,"March,31",100
8708,JP3101850000,First Section,Securities & Commodity Futures,"March,31",100
8732,JP3869930002,First Section,Securities & Commodity Futures,"March,31",100
8737,JP3292300005,Second Section,Securities & Commodity Futures,"March,31",100
8739,JP3399900004,First Section,Securities & Commodity Futures,"March,31",100
8742,JP3301300004,First Section,Securities & Commodity Futures,"March,31",100
9318,JP3743800009,Second Section,Securities & Commodity Futures,"March,31",100
9501,JP3585800000,First Section,Electric Power & Gas,"March,31",100
9502,JP3526600006,First Section,Electric Power & Gas,"March,31",100
9503,JP3228600007,First Section,Electric Power & Gas,"March,31",100
9504,JP3522200009,First Section,Electric Power & Gas,"March,31",100
9505,JP3845400005,First Section,Electric Power & Gas,"March,31",100
9506,JP3605400005,First Section,Electric Power & Gas,"March,31",100
9507,JP3350800003,First Section,Electric Power & Gas,"March,31",100
9508,JP3246400000,First Section,Electric Power & Gas,"March,31",100
9509,JP3850200001,First Section,Electric Power & Gas,"March,31",100
9511,JP3194700005,First Section,Electric Power & Gas,"March,31",100
9513,JP3551200003,First Section,Electric Power & Gas,"March,31",100
9514,JP3802140008,First Section,Electric Power & Gas,"June,30",100
9517,JP3130830007,First Section,Electric Power & Gas,"March,31",100
9519,JP3981200003,First Section,Electric Power & Gas,"March,31",100
9531,JP3573000001,First Section,Electric Power & Gas,"March,31",100
9532,JP3180400008,First Section,Electric Power & Gas,"March,31",100
9533,JP3600200004,First Section,Electric Power & Gas,"March,31",100
9534,JP3847000001,First Section,Electric Power & Gas,"March,31",100
9535,JP3796200008,First Section,Electric Power & Gas,"March,31",100
9536,JP3311600005,First Section,Electric Power & Gas,"March,31",100
9537,JP3843800008,Second Section,Electric Power & Gas,"March,31",100
9539,JP3281400006,Second Section,Electric Power & Gas,"December,31",100
9543,JP3351150002,First Section,Electric Power & Gas,"December,31",100
9551,JP3921260000,First Section,Electric Power & Gas,"March,31",100
1971,JP3518200005,Second Section,Metal Products,"March,31",100
3420,JP3277100008,Second Section,Metal Products,"March,31",100
3421,JP3145800003,First Section,Metal Products,"July,31",100
3431,JP3908700002,First Section,Metal Products,"March,31",100
3433,JP3552290003,First Section,Metal Products,"March,31",100
3434,JP3126360001,First Section,Metal Products,"March,31",100
3435,JP3330500004,Second Section,Metal Products,"March,31",100
3436,JP3322930003,First Section,Metal Products,"December,31",100
3440,JP3679830004,Second Section,Metal Products,"August,31",100
3443,JP3226300006,First Section,Metal Products,"March,31",100
3445,JP3100350002,First Section,Metal Products,"December,31",100
3446,JP3386660009,First Section,Metal Products,"June,30",100
3447,JP3384730002,First Section,Metal Products,"March,31",100
3449,JP3545260006,Second Section,Metal Products,"December,31",100
5901,JP3613400005,First Section,Metal Products,"March,31",100
5902,JP3846600009,First Section,Metal Products,"March,31",100
5905,JP3720400005,Second Section,Metal Products,"March,31",100
5907,JP3226550006,Second Section,Metal Products,"March,31",100
5909,JP3305950002,First Section,Metal Products,"March,31",100
5911,JP3955200005,First Section,Metal Products,"March,31",100
5915,JP3302600006,First Section,Metal Products,"March,31",100
5918,JP3461400008,Second Section,Metal Products,"March,31",100
5921,JP3222200002,Second Section,Metal Products,"September,30",100
5922,JP3651000006,Second Section,Metal Products,"March,31",100
5923,JP3457200008,First Section,Metal Products,"March,31",100
5928,JP3126500002,Second Section,Metal Products,"March,31",100
5929,JP3344400001,First Section,Metal Products,"March,31",100
5930,JP3831600006,First Section,Metal Products,"March,31",100
5932,JP3326800004,First Section,Metal Products,"May,31",100
5933,JP3126100001,First Section,Metal Products,"March,20",100
5936,JP3611400007,First Section,Metal Products,"March,31",100
5938,JP3626800001,First Section,Metal Products,"March,31",100
5940,JP3813500000,Second Section,Metal Products,"March,31",100
5941,JP3642600005,Second Section,Metal Products,"March,31",100
5942,JP3748600008,First Section,Metal Products,"November,30",100
5943,JP3759400009,First Section,Metal Products,"December,31",100
