Code,ISIN,DelistingDate,Industry
1310,JP3040100004,2019/12/19,-
1314,JP3046550004,2018/03/08,-
1347,JP3047050004,2018/03/08,-
1361,JP5372020007,2018/01/22,-
1362,JP5372030006,2018/01/22,-
1363,JP5372040005,2018/01/22,-
1405,JP3310360007,2016/06/28,Construction
1408,JP3322960000,2018/09/26,Construction
1427,JP3770230005,2016/04/15,Construction
1437,JP3801510003,2018/10/26,Construction
1444,JP3679840003,2020/03/29,Construction
1548,JP3047270008,2018/03/08,-
1549,JP3047280007,2018/11/12,-
1561,JP3047380005,2019/02/10,-
1562,JP3047390004,2016/06/19,-
1565,JP3047410000,2017/01/13,-
1581,JP5841320004,2018/01/22,-
1582,JP5841330003,2018/01/22,-
1583,JP5841340002,2018/01/22,-
1587,JP5841350001,2018/01/22,-
1588,JP5841360000,2018/01/22,-
1589,JP5841370009,2018/01/22,-
1590,JP5841380008,2018/01/22,-
1606,JP3691500007,2018/07/23,Mining
1610,JP3040110003,2019/12/19,-
1612,JP3040130001,2019/12/19,-
1613,JP3040150009,2020/06/13,-
1634,JP3046810002,2019/12/19,-
1635,JP3046820001,2019/12/19,-
1636,JP3046830000,2019/12/19,-
1637,JP3046840009,2019/12/19,-
1638,JP3046850008,2019/12/19,-
1639,JP3046860007,2019/12/19,-
1640,JP3046870006,2019/12/19,-
1641,JP3046880005,2019/12/19,-
1642,JP3046890004,2019/12/19,-
1643,JP3046900001,2019/12/19,-
1644,JP3046910000,2019/12/19,-
1645,JP3046920009,2019/12/19,-
1646,JP3046930008,2019/12/19,-
1647,JP3046940007,2019/12/19,-
1648,JP3046950006,2019/12/19,-
1649,JP3046960005,2019/12/19,-
1650,JP3046970004,2019/12/19,-
1683,JP3047150002,2020/08/01,-
1722,JP3885010003,2019/12/30,Construction
1846,JP3398600001,2018/03/20,Construction
1865,JP3303400000,2019/11/07,Construction
1868,JP3893800007,2018/10/12,Construction
1896,JP3190400006,2017/09/07,Construction
1906,JP3846100000,2020/03/27,Construction
1916,JP3679200000,2018/09/26,Construction
1919,JP3163400009,2018/08/29,Construction
1924,JP3650600004,2017/09/27,Construction
1931,JP3737400006,2018/09/26,Construction
1933,JP3658400001,2018/09/26,Construction
1935,JP3604600001,2018/09/26,Construction
1937,JP3417000001,2018/09/26,Construction
1956,JP3738200009,2018/09/26,Construction
1983,JP3594200002,2020/01/27,Construction
1984,JP3332800006,2018/09/18,Construction
1987,JP3797400003,2018/12/26,Construction
1989,JP3845600000,2018/09/26,Construction
2008,JP3863200006,2018/02/01,Foods
2021,JP5826550005,2016/09/26,-
2022,JP5826560004,2016/09/26,-
2023,JP5826570003,2016/09/26,-
2024,JP5826580002,2016/09/26,-
2025,JP5826590001,2016/09/26,-
2026,JP5826600008,2016/09/26,-
2027,JP5826610007,2016/09/26,-
2028,JP5826620006,2016/09/26,-
2029,JP5826630005,2016/09/26,-
2030,JP5826640004,2016/09/26,-
2049,JP5528370009,2018/02/19,-
2128,JP3762100000,2016/11/28,Services
2131,JP3108450002,2017/03/23,Services
2132,JP3105160000,2016/09/28,Services
2144,JP3942200001,2019/09/27,Services
2145,JP3548690001,2017/07/27,Services
2228,JP3356200000,2019/02/18,Foods
2284,JP3144400003,2016/03/29,Foods
2290,JP3959800008,2016/03/29,Foods
2369,JP3920980004,2016/10/06,Services
2400,JP3921020008,2017/01/16,Services
2405,JP3812250003,2020/03/09,Services
2417,JP3531350001,2020/06/01,Services
2450,JP3142340003,2016/03/14,Services
2458,JP3827900006,2019/01/28,Services
2538,JP3873700003,2018/07/27,Foods
2580,JP3293300004,2017/03/29,Foods
2608,JP3855400002,2020/09/25,Foods
2611,JP3422600001,2017/04/26,Foods
2655,JP3864850007,2020/02/27,Retail Trade
2658,JP3159900004,2016/02/25,Wholesale Trade
2662,JP3500000009,2016/08/29,Retail Trade
2703,JP3754450009,2019/08/23,Wholesale Trade
2710,JP3346470002,2016/11/04,Wholesale Trade
2714,JP3833150000,2021/02/12,Wholesale Trade
2719,JP3240200000,2018/08/06,Retail Trade
2772,JP3282700008,2017/12/18,Retail Trade
2786,JP3320600004,2016/08/10,Retail Trade
2817,JP3264950001,2016/08/05,Foods
3022,JP3935900005,2017/11/28,Wholesale Trade
3043,JP3922250000,2016/11/01,Wholesale Trade
3147,JP3974480000,2016/08/29,Retail Trade
3165,JP3802120000,2019/07/10,Wholesale Trade
3170,JP3102350000,2016/05/02,Retail Trade
3171,JP3864830009,2020/08/28,Retail Trade
3194,JP3257900005,2021/01/06,Retail Trade
3209,JP3217800006,2020/03/17,Wholesale Trade
3227,JP3046450007,2021/02/25,-
3230,JP3399290000,2019/05/29,Real Estate
3250,JP3160580001,2020/03/30,Real Estate
3251,JP3522700008,2016/02/22,Real Estate
3258,JP3394400000,2020/06/18,Real Estate
3263,JP3046770008,2016/08/29,-
3308,JP3047800002,2020/03/30,-
3313,JP3829950009,2018/09/26,Retail Trade
3318,JP3921010009,2017/10/27,Retail Trade
3325,JP3281830004,2016/03/09,Retail Trade
3331,JP3345750008,2016/02/25,Retail Trade
3366,JP3142320005,2019/03/19,Retail Trade
3385,JP3931400000,2019/08/29,Retail Trade
3394,JP3758160000,2016/12/28,Wholesale Trade
3398,JP3266140007,2016/11/16,Retail Trade
3424,JP3907700003,2020/07/28,Metal Products
3460,JP3047990001,2018/02/26,-
3473,JP3048320000,2020/07/30,-
3545,JP3549220006,2020/01/09,Retail Trade
3564,JP3970100008,2020/10/20,Retail Trade
3606,JP3980800001,2020/06/16,Textiles & Apparels
3610,JP3765470004,2019/04/26,Textiles & Apparels
3651,JP3635460003,2019/07/11,Information & Communication
3654,JP3791980000,2019/02/26,Information & Communication
3669,JP3922960004,2018/06/27,Information & Communication
3685,JP3911800005,2018/09/26,Information & Communication
3711,JP3432500001,2020/02/27,Information & Communication
3724,JP3835640008,2019/04/18,Information & Communication
3734,JP3167630007,2017/02/24,Information & Communication
3742,JP3549300006,2018/09/26,Information & Communication
3754,JP3161210004,2018/11/27,Information & Communication
3756,JP3870320003,2020/06/02,Information & Communication
3785,JP3160810002,2016/08/08,Information & Communication
3794,JP3165810007,2019/06/18,Information & Communication
3822,JP3386290005,2020/01/21,Information & Communication
3828,JP3756220004,2016/07/19,Information & Communication
3832,JP3538680004,2017/03/28,Information & Communication
3938,JP3966750006,2020/12/29,Information & Communication
4007,JP3693600003,2016/12/28,Chemicals
4033,JP3681180000,2019/09/18,Chemicals
4117,JP3223400007,2018/05/08,Chemicals
4201,JP3710000005,2016/11/09,Chemicals
4217,JP3785000005,2020/06/19,Chemicals
4239,JP3858000007,2019/11/08,Chemicals
4281,JP3549030009,2016/09/28,Services
4291,JP3385930007,2019/04/18,Information & Communication
4358,JP3539100002,2016/12/28,Information & Communication
4508,JP3469000008,2020/02/27,Pharmaceutical
4557,JP3131450003,2021/01/13,Pharmaceutical
4585,JP3944320005,2020/03/16,Pharmaceutical
4589,US00510T1097,2016/11/28,Pharmaceutical
4656,JP3342600008,2018/09/26,Services
4695,JP3860290000,2020/03/26,Services
4775,JP3432300006,2018/09/26,Retail Trade
4779,JP3436170009,2021/01/19,Information & Communication
4793,JP3818580007,2018/01/29,Information & Communication
4842,JP3946700006,2017/08/10,Information & Communication
4850,US2605431038,2016/12/08,Chemicals
4924,JP3638700009,2019/04/22,Chemicals
4965,JP3433600008,2017/12/25,Chemicals
4989,JP3148000007,2017/04/26,Chemicals
5002,JP3366800005,2019/03/27,Oil & Coal Products
5012,JP3428600005,2017/03/29,Oil & Coal Products
5196,JP3241200009,2016/10/21,Transportation Equipment
5234,JP3477000008,2016/07/27,Glass & Ceramics Products
5289,JP3427300003,2018/09/26,Glass & Ceramics Products
5398,JP3702000005,2016/09/26,Glass & Ceramics Products
