	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
	paid 0	paid 0	paid 0	paid 1	paid 1	paid 1	paid 2	paid 2	paid 2			
	heavy 0	heavy 1	heavy 2	heavy 0	heavy 1	heavy 2	heavy 0	heavy 1	heavy 2			
	Freq	Freq	Freq	Freq	Freq	Freq	Freq	Freq	Freq			
VARIABLES	(Percent)	(Percent)	(Percent)	(Percent)	(Percent)	(Percent)	(Percent)	(Percent)	(Percent)	mpg	mpg	mpg
												
0									2			
									(13.33)			
1						2			10			
						(33.33)			(66.67)			
2					1			2	1			
					(8.333)			(50)	(6.667)			
3		1	1		2	4	1					
		(11.11)	(25)		(16.67)	(66.67)	(16.67)					
4		1	3		4							
		(11.11)	(75)		(33.33)							
5	1	2			2			1	2			
	(9.091)	(22.22)			(16.67)			(25)	(13.33)			
6	1	2			2		3					
	(9.091)	(22.22)			(16.67)		(50)					
7		3		1								
		(33.33)		(14.29)								
8	3			4	1		2	1				
	(27.27)			(57.14)	(8.333)		(33.33)	(25)				
9	6			2								
	(54.55)			(28.57)								
foreign										-1.655	-1.655	-1.655
										(1.082)	(1.082)	(1.082)
weight										-0.00647***	-0.00647***	-0.00647***
										(0.000700)	(0.000700)	(0.000700)
headroom										-0.219	-0.219	-0.219
										(0.542)	(0.542)	(0.542)
Constant										41.99***	41.99***	41.99***
										(2.312)	(2.312)	(2.312)
												
Observations										74	74	74
R-squared										0.663	0.663	0.663
Total	11	9	4	7	12	6	6	4	15			
