Table IV OLS Estimates of Number of Prints for Volume Groups											
		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	LABELS	Volume 1	Volume 2	Volume 3	Volume 4	Volume 5	Volume 6	Volume 7	Volume 8	Volume 9	Volume 10
											
logw1dbw1	Log Adj-Trading Activity	0.696***	0.654***	0.645***	0.622***	0.628***	0.647***	0.585***	0.592***	0.612***	0.472***
		(0.014)	(0.006)	(0.008)	(0.020)	(0.026)	(0.033)	(0.012)	(0.026)	(0.028)	(0.036)
Constant	Constant	5.071***	5.132***	5.238***	5.296***	5.311***	5.184***	5.309***	5.240***	5.189***	5.963***
		(0.032)	(0.012)	(0.026)	(0.034)	(0.077)	(0.077)	(0.056)	(0.081)	(0.117)	(0.158)
											
Observations		124,209	84,887	41,800	41,906	20,788	20,297	20,386	20,681	21,097	21,177
Adjusted R-squared		0.735	0.679	0.686	0.583	0.516	0.565	0.469	0.330	0.386	0.340
Stock FE		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Day FE		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Coef Equal 2/3 p-val		0.045	0.057	0.011	0.039	0.157	0.561	0.000	0.008	0.059	0.000
Robust standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
