Table I: Panel B Descriptive Statstics for Ticksize Groups										
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
	ticksize 1		ticksize 5		ticksize 10		ticksize 50		ticksize 100	
VARIABLES	mean	N	mean	N	mean	N	mean	N	mean	N
										
nprints	597.494	419,229.000	766.154	53,949.000	1,216.592	28,718.000	3,711.756	401.000	2,786.592	353.000
avg_price	1,287.040	419,229.000	3,798.329	53,949.000	8,037.998	28,718.000	40,820.348	401.000	63,893.377	353.000
avg_printsize	1,154.921	419,229.000	316.979	53,949.000	350.089	28,718.000	214.921	401.000	182.639	353.000
d_med_tw_size	173.742	419,229.000	125.628	53,949.000	160.182	28,718.000	100.000	401.000	100.000	353.000
d_med_vw_size	29,353.455	419,229.000	3,116.814	53,949.000	2,789.233	28,718.000	296.010	401.000	613.314	353.000
volatility	0.017	419,229.000	0.016	53,949.000	0.016	28,718.000	0.017	401.000	0.015	353.000
hundred_prc	0.594	419,229.000	0.625	53,949.000	0.622	28,718.000	0.684	401.000	0.773	353.000
thousand_prc	0.012	419,229.000	0.008	53,949.000	0.007	28,718.000	0.003	401.000	0.001	353.000
even_prc	0.905	419,229.000	0.922	53,949.000	0.929	28,718.000	0.963	401.000	0.987	353.000
dollarvol_in_1000	4,705.587	419,229.000	14,968.652	53,949.000	37,143.238	28,718.000	342,636.786	401.000	331,125.861	353.000
										
Number of ticker	163	163	163	163	163	163	163	163	163	163
